coin,opening_candle_date,probability,previous_close_price,close_price,close_direction,last_monitor_date,potential_profit_%
HBAR/USDT,2024-07-17 08:00:00,0.7,0.0777,0.0776,0,2024-07-17 12:01:47,-0.13
BNT/USDT,2024-07-17 08:00:00,0.75,0.6375,0.6329,0,2024-07-17 12:01:47,-0.72
LTO/USDT,2024-07-17 08:00:00,0.8,0.1219,0.1212,0,2024-07-17 12:01:47,-0.57
CELO/USDT,2024-07-17 08:00:00,0.73,0.5831,0.5808,0,2024-07-17 12:01:47,-0.39
ACM/USDT,2024-07-17 08:00:00,0.78,1.727,1.683,0,2024-07-17 12:01:47,-2.55
BURGER/USDT,2024-07-17 08:00:00,0.71,0.4387,0.4316,0,2024-07-17 12:01:47,-1.62
LPT/USDT,2024-07-17 08:00:00,0.77,15.726,15.59,0,2024-07-17 12:01:47,-0.86
SYS/USDT,2024-07-17 08:00:00,0.71,0.1191,0.12,1,2024-07-17 12:01:47,0.76
STEEM/USDT,2024-07-17 08:00:00,0.8,0.196,0.1974,1,2024-07-17 12:01:47,0.71
SYN/USDT,2024-07-17 08:00:00,0.83,0.4837,0.477,0,2024-07-17 12:01:47,-1.39
UFT/USDT,2024-07-17 08:00:00,0.83,0.3101,0.3054,0,2024-07-17 12:01:47,-1.52
APE/USDT,2024-07-17 12:00:00,0.77,0.831,0.83,0,2024-07-17 16:00:09,-0.12
BSW/USDT,2024-07-17 12:00:00,0.78,0.0646,0.064,0,2024-07-17 16:00:09,-0.93
OP/USDT,2024-07-17 12:00:00,0.82,1.842,1.839,0,2024-07-17 16:00:09,-0.16
STG/USDT,2024-07-17 12:00:00,0.74,0.3872,0.3881,1,2024-07-17 16:00:09,0.23
SYN/USDT,2024-07-17 12:00:00,0.74,0.477,0.4802,1,2024-07-17 16:00:09,0.67
ARB/USDT,2024-07-17 12:00:00,0.77,0.7617,0.7604,0,2024-07-17 16:00:09,-0.17
AERGO/USDT,2024-07-17 12:00:00,0.7,0.0969,0.0972,1,2024-07-17 16:00:09,0.31
MEME/USDT,2024-07-17 12:00:00,0.73,0.01691,0.0168,0,2024-07-17 16:00:09,-0.65
ZRX/USDT,2024-07-17 12:00:00,0.73,0.3606,0.3627,1,2024-07-17 16:00:09,0.58
BAT/USDT,2024-07-17 12:00:00,0.7,0.2013,0.2006,0,2024-07-17 16:00:09,-0.35
CELR/USDT,2024-07-17 12:00:00,0.77,0.01472,0.01456,0,2024-07-17 16:00:09,-1.09
THETA/USDT,2024-07-17 12:00:00,0.76,1.536,1.521,0,2024-07-17 16:00:09,-0.98
ENJ/USDT,2024-07-17 12:00:00,0.73,0.194,0.1977,1,2024-07-17 16:00:09,1.91
ATOM/USDT,2024-07-17 12:00:00,0.7,6.621,6.584,0,2024-07-17 16:00:09,-0.56
ALGO/USDT,2024-07-17 12:00:00,0.73,0.1589,0.1588,0,2024-07-17 16:00:09,-0.06
COS/USDT,2024-07-17 12:00:00,0.73,0.008391,0.008379,0,2024-07-17 16:00:09,-0.14
FUN/USDT,2024-07-17 12:00:00,0.82,0.003911,0.003898,0,2024-07-17 16:00:09,-0.33
CTSI/USDT,2024-07-17 12:00:00,0.77,0.1597,0.1594,0,2024-07-17 16:00:09,-0.19
STMX/USDT,2024-07-17 12:00:00,0.7,0.005259,0.005213,0,2024-07-17 16:00:09,-0.87
MKR/USDT,2024-07-17 12:00:00,0.77,2960.0,2856.0,0,2024-07-17 16:00:09,-3.51
DCR/USDT,2024-07-17 12:00:00,0.8,14.01,14.05,0,2024-07-17 16:00:09,0.29
BAL/USDT,2024-07-17 12:00:00,0.71,2.693,2.683,0,2024-07-17 16:00:09,-0.37
SAND/USDT,2024-07-17 12:00:00,0.73,0.3399,0.3392,0,2024-07-17 16:00:09,-0.21
UTK/USDT,2024-07-17 12:00:00,0.8,0.0571,0.05593,0,2024-07-17 16:00:09,-2.05
NEAR/USDT,2024-07-17 12:00:00,0.72,6.123,6.091,0,2024-07-17 16:00:09,-0.52
FIL/USDT,2024-07-17 12:00:00,0.8,4.563,4.707,1,2024-07-17 16:00:09,3.16
AXS/USDT,2024-07-17 12:00:00,0.7,6.131,6.128,0,2024-07-17 16:00:09,-0.05
AVA/USDT,2024-07-17 12:00:00,0.72,0.6589,0.656,0,2024-07-17 16:00:09,-0.44
FIRO/USDT,2024-07-17 12:00:00,0.79,1.348,1.344,0,2024-07-17 16:00:09,-0.3
LIT/USDT,2024-07-17 12:00:00,0.77,0.786,0.785,0,2024-07-17 16:00:09,-0.13
MLN/USDT,2024-07-17 12:00:00,0.95,20.45,20.36,0,2024-07-17 16:00:09,-0.44
VIDT/USDT,2024-07-17 12:00:00,0.71,0.0232,0.02314,0,2024-07-17 16:00:09,-0.26
ILV/USDT,2024-07-17 12:00:00,0.7,67.0,67.63,1,2024-07-17 16:00:09,0.94
QI/USDT,2024-07-17 12:00:00,0.73,0.01541,0.0153,0,2024-07-17 16:00:09,-0.71
PYR/USDT,2024-07-17 12:00:00,0.8,3.431,3.438,1,2024-07-17 16:00:09,0.2
VOXEL/USDT,2024-07-17 12:00:00,0.71,0.1577,0.1594,1,2024-07-17 16:00:09,1.08
WOO/USDT,2024-07-17 12:00:00,0.74,0.2065,0.207,1,2024-07-17 16:00:09,0.24
GMT/USDT,2024-07-17 12:00:00,0.75,0.1571,0.1573,1,2024-07-17 16:00:09,0.13
IOTA/USDT,2024-07-17 16:00:00,0.72,0.1732,0.1729,0,2024-07-17 20:00:37,-0.17
VET/USDT,2024-07-17 16:00:00,0.75,0.03157,0.03161,1,2024-07-17 20:00:37,0.13
ALGO/USDT,2024-07-17 16:00:00,0.72,0.1588,0.1576,0,2024-07-17 20:00:37,-0.76
ANKR/USDT,2024-07-17 16:00:00,0.75,0.03114,0.03097,0,2024-07-17 20:00:37,-0.55
CHZ/USDT,2024-07-17 16:00:00,0.77,0.0735,0.0732,0,2024-07-17 20:00:37,-0.41
LSK/USDT,2024-07-17 16:00:00,0.78,1.008,1.008,0,2024-07-17 20:00:37,0.0
LTO/USDT,2024-07-17 16:00:00,0.74,0.1197,0.1204,1,2024-07-17 20:00:37,0.58
KNC/USDT,2024-07-17 16:00:00,0.82,0.5591,0.5592,1,2024-07-17 20:00:37,0.02
MKR/USDT,2024-07-17 16:00:00,0.73,2856.0,2889.0,1,2024-07-17 20:00:37,1.16
MANA/USDT,2024-07-17 16:00:00,0.81,0.3635,0.3615,0,2024-07-17 20:00:37,-0.55
SAND/USDT,2024-07-17 16:00:00,0.77,0.3392,0.3395,1,2024-07-17 20:00:37,0.09
FIL/USDT,2024-07-17 16:00:00,0.71,4.707,4.62,0,2024-07-17 20:00:37,-1.85
UNFI/USDT,2024-07-17 16:00:00,0.8,4.072,4.059,0,2024-07-17 20:00:37,-0.32
AVA/USDT,2024-07-17 16:00:00,0.9,0.656,0.6505,0,2024-07-17 20:00:37,-0.84
MLN/USDT,2024-07-17 16:00:00,0.85,20.36,20.16,0,2024-07-17 20:00:37,-0.98
C98/USDT,2024-07-17 16:00:00,0.76,0.1706,0.1716,1,2024-07-17 20:00:37,0.59
QNT/USDT,2024-07-17 16:00:00,0.85,78.6,78.1,0,2024-07-17 20:00:37,-0.64
FLOW/USDT,2024-07-17 16:00:00,0.8,0.623,0.623,0,2024-07-17 20:00:37,0.0
QUICK/USDT,2024-07-17 16:00:00,0.76,0.0411,0.04113,1,2024-07-17 20:00:37,0.07
AUCTION/USDT,2024-07-17 16:00:00,0.7,15.61,15.6,0,2024-07-17 20:00:37,-0.06
WOO/USDT,2024-07-17 16:00:00,0.85,0.207,0.2077,1,2024-07-17 20:00:37,0.34
GMT/USDT,2024-07-17 16:00:00,0.82,0.1573,0.1567,0,2024-07-17 20:00:37,-0.38
APE/USDT,2024-07-17 16:00:00,0.92,0.83,0.834,1,2024-07-17 20:00:37,0.48
STG/USDT,2024-07-17 16:00:00,0.84,0.3881,0.3845,0,2024-07-17 20:00:37,-0.93
ARB/USDT,2024-07-17 16:00:00,0.72,0.7604,0.7603,0,2024-07-17 20:00:37,-0.01
LOOM/USDT,2024-07-17 16:00:00,0.87,0.05777,0.05744,0,2024-07-17 20:00:37,-0.57
AERGO/USDT,2024-07-17 16:00:00,0.77,0.0972,0.0975,1,2024-07-17 20:00:37,0.31
AST/USDT,2024-07-17 16:00:00,0.76,0.0987,0.0989,1,2024-07-17 20:00:37,0.2
PENDLE/USDT,2024-07-17 16:00:00,0.76,4.594,4.63,1,2024-07-17 20:00:37,0.78
LSK/USDT,2024-07-17 20:00:00,0.71,1.008,1.001,0,2024-07-18 00:00:32,-0.69
KNC/USDT,2024-07-17 20:00:00,0.78,0.5592,0.5575,0,2024-07-18 00:00:32,-0.3
UTK/USDT,2024-07-17 20:00:00,0.7,0.05537,0.05488,0,2024-07-18 00:00:32,-0.88
FIL/USDT,2024-07-17 20:00:00,0.84,4.62,4.556,0,2024-07-18 00:00:32,-1.39
AVA/USDT,2024-07-17 20:00:00,0.73,0.6505,0.6437,0,2024-07-18 00:00:32,-1.05
VOXEL/USDT,2024-07-17 20:00:00,0.73,0.159,0.1595,1,2024-07-18 00:00:32,0.31
SYN/USDT,2024-07-17 20:00:00,0.73,0.4751,0.4664,0,2024-07-18 00:00:32,-1.83
OMNI/USDT,2024-07-18 00:00:00,0.72,13.14,13.5,1,2024-07-18 04:02:09,2.74
ZK/USDT,2024-07-18 00:00:00,0.91,0.1667,0.1715,1,2024-07-18 04:02:09,2.88
LINK/USDT,2024-07-18 00:00:00,0.77,13.737,13.876,1,2024-07-18 04:02:09,1.01
HOT/USDT,2024-07-18 00:00:00,0.79,0.001835,0.001885,1,2024-07-18 04:02:09,2.72
HBAR/USDT,2024-07-18 00:00:00,0.79,0.0753,0.0757,1,2024-07-18 04:02:09,0.53
LTO/USDT,2024-07-18 00:00:00,0.92,0.12,0.1219,1,2024-07-18 04:02:09,1.58
UTK/USDT,2024-07-18 00:00:00,0.83,0.05488,0.05611,1,2024-07-18 04:02:09,2.24
AVA/USDT,2024-07-18 00:00:00,0.9,0.6437,0.6563,1,2024-07-18 04:02:09,1.96
OG/USDT,2024-07-18 00:00:00,0.82,3.376,3.45,1,2024-07-18 04:02:09,2.19
DODO/USDT,2024-07-18 00:00:00,0.73,0.1235,0.1235,0,2024-07-18 04:02:09,0.0
CAKE/USDT,2024-07-18 00:00:00,0.81,1.997,2.013,1,2024-07-18 04:02:09,0.8
SHIB/USDT,2024-07-18 00:00:00,0.76,1.862e-05,1.888e-05,1,2024-07-18 04:02:09,1.4
ERN/USDT,2024-07-18 00:00:00,0.83,2.358,2.422,1,2024-07-18 04:02:09,2.71
PHA/USDT,2024-07-18 00:00:00,0.76,0.1371,0.1389,1,2024-07-18 04:02:09,1.31
MLN/USDT,2024-07-18 00:00:00,0.83,19.98,19.83,0,2024-07-18 04:02:09,-0.75
RAY/USDT,2024-07-18 00:00:00,0.81,1.9232,1.9493,1,2024-07-18 03:59:56,1.36
GNO/USDT,2024-07-18 00:00:00,0.73,257.3,260.0,1,2024-07-18 03:59:56,1.05
LAZIO/USDT,2024-07-18 00:00:00,0.7,1.508,1.535,1,2024-07-18 03:59:56,1.79
CITY/USDT,2024-07-18 00:00:00,0.77,2.266,2.283,1,2024-07-18 03:59:56,0.75
GLMR/USDT,2024-07-18 00:00:00,0.73,0.2176,0.2192,1,2024-07-18 03:59:56,0.74
XNO/USDT,2024-07-18 00:00:00,0.7,0.961,0.981,1,2024-07-18 03:59:56,2.08
HOOK/USDT,2024-07-18 00:00:00,0.75,0.5333,0.5503,1,2024-07-18 03:59:56,3.19
SYN/USDT,2024-07-18 00:00:00,0.73,0.4664,0.4664,0,2024-07-18 03:59:56,0.0
VIB/USDT,2024-07-18 00:00:00,0.84,0.07318,0.07421,1,2024-07-18 03:59:56,1.41
PENDLE/USDT,2024-07-18 00:00:00,0.83,4.532,4.604,1,2024-07-18 03:59:56,1.59
AI/USDT,2024-07-18 00:00:00,0.7,0.615,0.631,1,2024-07-18 03:59:56,2.6
CELR/USDT,2024-07-18 04:00:00,0.8,0.01456,0.01451,0,2024-07-18 08:01:03,-0.34
FTM/USDT,2024-07-18 04:00:00,0.85,0.5145,0.5058,0,2024-07-18 08:01:03,-1.69
HBAR/USDT,2024-07-18 04:00:00,0.85,0.0757,0.0743,0,2024-07-18 08:01:03,-1.85
SOL/USDT,2024-07-18 04:00:00,0.82,158.93,158.66,0,2024-07-18 08:01:03,-0.17
MANA/USDT,2024-07-18 04:00:00,0.79,0.3669,0.3648,0,2024-07-18 08:01:03,-0.57
AVA/USDT,2024-07-18 04:00:00,0.88,0.6563,0.6566,1,2024-07-18 08:01:03,0.05
GRT/USDT,2024-07-18 04:00:00,0.78,0.2124,0.2097,0,2024-07-18 08:01:03,-1.27
SHIB/USDT,2024-07-18 04:00:00,0.73,1.888e-05,1.768e-05,0,2024-07-18 08:01:03,-6.36
MASK/USDT,2024-07-18 04:00:00,0.7,2.453,2.424,0,2024-07-18 08:01:03,-1.18
RAY/USDT,2024-07-18 04:00:00,0.88,1.9493,1.9313,0,2024-07-18 08:01:03,-0.92
FOR/USDT,2024-07-18 04:00:00,0.7,0.01431,0.01422,0,2024-07-18 08:01:03,-0.63
REQ/USDT,2024-07-18 04:00:00,0.72,0.1171,0.1118,0,2024-07-18 08:01:03,-4.53
GNO/USDT,2024-07-18 04:00:00,0.71,260.0,259.1,0,2024-07-18 08:01:03,-0.35
QI/USDT,2024-07-18 04:00:00,0.73,0.01541,0.01538,0,2024-07-18 08:01:03,-0.19
GMT/USDT,2024-07-18 04:00:00,0.89,0.1586,0.1569,0,2024-07-18 08:01:03,-1.07
STEEM/USDT,2024-07-18 04:00:00,0.82,0.1982,0.1959,0,2024-07-18 08:01:03,-1.16
OP/USDT,2024-07-18 04:00:00,0.75,1.822,1.802,0,2024-07-18 08:01:03,-1.1
FTM/USDT,2024-07-18 08:00:00,0.76,0.5058,0.4997,0,2024-07-18 12:01:13,-1.21
WIN/USDT,2024-07-18 08:00:00,0.78,9.44e-05,9.49e-05,1,2024-07-18 12:01:13,0.53
DENT/USDT,2024-07-18 08:00:00,0.76,0.000945,0.000945,1,2024-07-18 12:01:13,0.0
FUN/USDT,2024-07-18 08:00:00,0.75,0.003934,0.003941,0,2024-07-18 12:01:13,0.18
REN/USDT,2024-07-18 08:00:00,0.71,0.0506,0.05029,0,2024-07-18 12:01:13,-0.61
STX/USDT,2024-07-18 08:00:00,0.71,1.879,1.888,1,2024-07-18 12:01:13,0.48
DGB/USDT,2024-07-18 08:00:00,0.71,0.00856,0.0086,0,2024-07-18 12:01:13,0.47
FIO/USDT,2024-07-18 08:00:00,0.79,0.02664,0.02665,1,2024-07-18 12:01:13,0.04
UMA/USDT,2024-07-18 08:00:00,0.73,2.289,2.259,0,2024-07-18 12:01:13,-1.31
FLM/USDT,2024-07-18 08:00:00,0.71,0.0711,0.0705,0,2024-07-18 12:01:13,-0.84
CAKE/USDT,2024-07-18 08:00:00,0.79,2.003,2.014,1,2024-07-18 12:01:13,0.55
SHIB/USDT,2024-07-18 08:00:00,0.76,1.768e-05,1.724e-05,0,2024-07-18 12:01:13,-2.49
AR/USDT,2024-07-18 08:00:00,0.86,30.396,30.805,1,2024-07-18 12:01:13,1.35
C98/USDT,2024-07-18 08:00:00,0.81,0.1735,0.1748,1,2024-07-18 12:01:13,0.75
QUICK/USDT,2024-07-18 08:00:00,0.72,0.04124,0.04119,0,2024-07-18 12:01:13,-0.12
REQ/USDT,2024-07-18 08:00:00,0.72,0.1118,0.1125,1,2024-07-18 12:01:13,0.63
GALA/USDT,2024-07-18 08:00:00,0.77,0.02488,0.02483,0,2024-07-18 12:01:13,-0.2
YGG/USDT,2024-07-18 08:00:00,0.71,0.5527,0.553,0,2024-07-18 12:01:13,0.05
ALPINE/USDT,2024-07-18 08:00:00,0.8,1.436,1.441,1,2024-07-18 12:01:13,0.35
LEVER/USDT,2024-07-18 08:00:00,0.72,0.002457,0.002464,1,2024-07-18 12:01:13,0.28
GNS/USDT,2024-07-18 08:00:00,0.79,3.402,3.423,1,2024-07-18 12:01:13,0.62
ID/USDT,2024-07-18 08:00:00,0.73,0.4723,0.4808,1,2024-07-18 12:01:13,1.8
GFT/USDT,2024-07-18 08:00:00,0.77,0.02001,0.02024,1,2024-07-18 12:01:13,1.15
MEME/USDT,2024-07-18 08:00:00,0.75,0.0166,0.01686,1,2024-07-18 12:01:13,1.57
ACE/USDT,2024-07-18 08:00:00,0.82,3.253,3.243,0,2024-07-18 12:01:13,-0.31
TNSR/USDT,2024-07-18 08:00:00,0.77,0.5415,0.5417,1,2024-07-18 12:01:13,0.04
REZ/USDT,2024-07-18 08:00:00,0.74,0.0779,0.0776,0,2024-07-18 12:01:13,-0.39
ZK/USDT,2024-07-18 08:00:00,0.72,0.1695,0.172,1,2024-07-18 12:01:13,1.47
GRT/USDT,2024-07-18 12:00:00,0.7,0.208,0.2014,0,2024-07-18 16:01:34,-3.17
FORTH/USDT,2024-07-18 12:00:00,0.92,3.465,3.249,0,2024-07-18 16:01:34,-6.23
AR/USDT,2024-07-18 12:00:00,0.77,30.805,29.813,0,2024-07-18 16:01:34,-3.22
ATA/USDT,2024-07-18 12:00:00,0.86,0.1013,0.0978,0,2024-07-18 16:01:34,-3.46
RAY/USDT,2024-07-18 12:00:00,0.86,1.9506,1.9101,0,2024-07-18 16:01:34,-2.08
QUICK/USDT,2024-07-18 12:00:00,0.81,0.04119,0.04015,0,2024-07-18 16:01:34,-2.52
VIDT/USDT,2024-07-18 12:00:00,0.87,0.0231,0.022,0,2024-07-18 16:01:34,-4.76
ADX/USDT,2024-07-18 12:00:00,0.73,0.1826,0.1805,0,2024-07-18 16:01:34,-1.15
QI/USDT,2024-07-18 12:00:00,0.73,0.01524,0.0148,0,2024-07-18 16:01:34,-2.89
CVX/USDT,2024-07-18 12:00:00,0.73,2.468,2.382,0,2024-07-18 16:01:34,-3.48
LOKA/USDT,2024-07-18 12:00:00,0.71,0.1892,0.1845,0,2024-07-18 16:01:34,-2.48
BTTC/USDT,2024-07-18 12:00:00,0.8,8.8e-07,8.6e-07,0,2024-07-18 16:01:34,-2.27
BIFI/USDT,2024-07-18 12:00:00,0.76,339.0,326.4,0,2024-07-18 16:01:34,-3.72
POLYX/USDT,2024-07-18 12:00:00,0.83,0.2757,0.2667,0,2024-07-18 16:01:34,-3.26
HFT/USDT,2024-07-18 12:00:00,0.89,0.2018,0.1944,0,2024-07-18 16:01:34,-3.67
UFT/USDT,2024-07-18 12:00:00,0.75,0.2808,0.2758,0,2024-07-18 16:01:34,-1.78
ZK/USDT,2024-07-18 12:00:00,0.72,0.172,0.1635,0,2024-07-18 16:01:34,-4.94
HOT/USDT,2024-07-18 12:00:00,0.91,0.001775,0.001756,0,2024-07-18 16:01:34,-1.07
BAT/USDT,2024-07-18 12:00:00,0.9,0.1935,0.1888,0,2024-07-18 16:01:34,-2.43
CELR/USDT,2024-07-18 12:00:00,0.77,0.01418,0.01369,0,2024-07-18 16:01:34,-3.46
MATIC/USDT,2024-07-18 12:00:00,0.9,0.5316,0.5167,0,2024-07-18 16:01:34,-2.8
WIN/USDT,2024-07-18 12:00:00,0.83,9.49e-05,9.28e-05,0,2024-07-18 16:01:34,-2.21
DENT/USDT,2024-07-18 12:00:00,0.78,0.000945,0.000913,0,2024-07-18 16:01:34,-3.39
KEY/USDT,2024-07-18 12:00:00,0.73,0.005364,0.005292,0,2024-07-18 16:01:34,-1.34
WRX/USDT,2024-07-18 12:00:00,0.86,0.1483,0.145,0,2024-07-18 16:01:34,-2.23
LTO/USDT,2024-07-18 12:00:00,0.78,0.1213,0.1175,0,2024-07-18 16:01:34,-3.13
CHR/USDT,2024-07-18 12:00:00,0.76,0.2679,0.2544,0,2024-07-18 16:01:34,-5.04
LRC/USDT,2024-07-18 12:00:00,0.9,0.1601,0.1553,0,2024-07-18 16:01:34,-3.0
MANA/USDT,2024-07-18 12:00:00,0.73,0.353,0.3375,0,2024-07-18 16:01:34,-4.39
YFI/USDT,2024-07-18 12:00:00,0.77,5959.0,5834.0,0,2024-07-18 16:01:34,-2.1
SAND/USDT,2024-07-18 12:00:00,0.81,0.3376,0.3224,0,2024-07-18 16:01:34,-4.5
UTK/USDT,2024-07-18 12:00:00,0.9,0.05558,0.05292,0,2024-07-18 16:01:34,-4.79
NEAR/USDT,2024-07-18 12:00:00,0.72,6.086,5.93,0,2024-07-18 16:01:34,-2.56
XRP/USDT,2024-07-18 16:00:00,0.82,0.5629,0.5694,1,2024-07-18 20:01:35,1.15
LINK/USDT,2024-07-18 16:00:00,0.73,13.534,13.556,1,2024-07-18 20:01:35,0.16
WRX/USDT,2024-07-18 16:00:00,0.73,0.145,0.1439,0,2024-07-18 20:01:35,-0.76
LINA/USDT,2024-07-18 16:00:00,0.78,0.005964,0.005903,0,2024-07-18 20:01:35,-1.02
ILV/USDT,2024-07-18 16:00:00,0.78,70.39,70.69,1,2024-07-18 20:01:35,0.43
DF/USDT,2024-07-18 16:00:00,0.76,0.03216,0.03194,0,2024-07-18 20:01:35,-0.68
AUCTION/USDT,2024-07-18 16:00:00,0.73,15.24,15.16,0,2024-07-18 20:01:35,-0.52
ALCX/USDT,2024-07-18 16:00:00,0.74,17.82,17.65,0,2024-07-18 20:01:35,-0.95
FXS/USDT,2024-07-18 16:00:00,0.75,2.486,2.474,0,2024-07-18 20:01:35,-0.48
SPELL/USDT,2024-07-18 16:00:00,0.75,0.0006606,0.0006603,1,2024-07-18 20:01:35,-0.05
GLMR/USDT,2024-07-18 16:00:00,0.74,0.2081,0.2097,1,2024-07-18 20:01:35,0.77
VIB/USDT,2024-07-18 16:00:00,0.86,0.0727,0.07116,0,2024-07-18 20:01:35,-2.12
AMB/USDT,2024-07-18 16:00:00,0.89,0.00644,0.00641,0,2024-07-18 20:01:35,-0.47
ID/USDT,2024-07-18 16:00:00,0.7,0.4627,0.4553,0,2024-07-18 20:01:35,-1.6
ZK/USDT,2024-07-18 16:00:00,0.77,0.1635,0.1633,0,2024-07-18 20:01:35,-0.12
COS/USDT,2024-07-18 20:00:00,0.85,0.008044,0.008142,1,2024-07-19 00:01:44,1.22
