coin,buy_price,buy_date,sell_price,sell_date,previous_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
CHZ/USDT,0.0726,2024-07-17 16:21:37,0.07,2024-07-17 20:00:02,0.0735,2024-07-17 16:00:00,0.83,-0.41,Candles Exceeded,2,2024-07-17 20:00:02
UNFI/USDT,4.029,2024-07-17 16:23:36,4.08,2024-07-17 19:52:04,4.072,2024-07-17 16:00:00,1.14,0.07,Profit Reached,1,2024-07-17 19:52:04
GMT/USDT,0.1552,2024-07-17 16:26:34,0.16,2024-07-17 19:21:50,0.1573,2024-07-17 16:00:00,1.42,0.06,Profit Reached,1,2024-07-17 19:21:50
LOOM/USDT,0.05705,2024-07-17 16:27:25,0.06,2024-07-17 20:00:02,0.05777,2024-07-17 16:00:00,0.7,-0.55,Candles Exceeded,2,2024-07-17 20:00:02
PENDLE/USDT,4.545,2024-07-17 16:27:42,4.59,2024-07-17 17:03:49,4.594,2024-07-17 16:00:00,1.1,0.02,Profit Reached,1,2024-07-17 17:03:49
KNC/USDT,0.5526,2024-07-17 16:31:51,0.56,2024-07-17 19:15:59,0.5591,2024-07-17 16:00:00,1.23,0.05,Profit Reached,1,2024-07-17 19:15:59
MANA/USDT,0.3582,2024-07-17 16:32:07,0.36,2024-07-17 20:00:02,0.3635,2024-07-17 16:00:00,0.92,-0.55,Candles Exceeded,2,2024-07-17 20:00:02
SAND/USDT,0.3345,2024-07-17 16:32:17,0.34,2024-07-17 18:32:49,0.3392,2024-07-17 16:00:00,1.43,0.03,Profit Reached,1,2024-07-17 18:32:49
C98/USDT,0.1681,2024-07-17 16:34:19,0.17,2024-07-17 17:40:02,0.1706,2024-07-17 16:00:00,1.55,0.06,Profit Reached,1,2024-07-17 17:40:02
FLOW/USDT,0.615,2024-07-17 16:34:22,0.62,2024-07-17 19:11:01,0.623,2024-07-17 16:00:00,1.46,0.16,Profit Reached,1,2024-07-17 19:11:01
QUICK/USDT,0.04066,2024-07-17 16:34:29,0.04,2024-07-17 18:23:35,0.0411,2024-07-17 16:00:00,1.11,0.02,Profit Reached,1,2024-07-17 18:23:35
STG/USDT,0.3822,2024-07-17 16:36:11,0.38,2024-07-17 20:00:02,0.3881,2024-07-17 16:00:00,0.6,-0.93,Candles Exceeded,2,2024-07-17 20:00:02
AERGO/USDT,0.0962,2024-07-17 16:36:55,0.1,2024-07-17 18:17:50,0.0972,2024-07-17 16:00:00,1.14,0.1,Profit Reached,1,2024-07-17 18:17:50
AST/USDT,0.0977,2024-07-17 16:36:59,0.1,2024-07-17 18:45:24,0.0987,2024-07-17 16:00:00,1.13,0.1,Profit Reached,1,2024-07-17 18:45:24
VET/USDT,0.03122,2024-07-17 16:39:41,0.03,2024-07-17 19:14:55,0.03157,2024-07-17 16:00:00,1.15,0.03,Profit Reached,1,2024-07-17 19:14:55
ANKR/USDT,0.0307,2024-07-17 16:40:13,0.03,2024-07-17 20:00:02,0.03114,2024-07-17 16:00:00,0.88,-0.55,Candles Exceeded,2,2024-07-17 20:00:02
LSK/USDT,0.995,2024-07-17 16:40:52,1.01,2024-07-17 19:12:46,1.008,2024-07-17 16:00:00,1.41,0.1,Profit Reached,1,2024-07-17 19:12:46
AVA/USDT,0.6469,2024-07-17 16:42:21,0.65,2024-07-17 20:00:02,0.656,2024-07-17 16:00:00,0.56,-0.84,Candles Exceeded,2,2024-07-17 20:00:02
MLN/USDT,19.98,2024-07-17 16:52:37,20.37,2024-07-17 19:02:29,20.36,2024-07-17 16:00:00,1.95,0.05,Profit Reached,1,2024-07-17 19:02:29
FIL/USDT,4.568,2024-07-17 23:45:15,4.55,2024-07-18 00:00:07,4.62,2024-07-17 20:00:00,-0.39,-1.52,Candles Exceeded,2,2024-07-18 00:00:07
MLN/USDT,19.75,2024-07-18 02:20:28,19.83,2024-07-18 04:00:08,19.98,2024-07-18 00:00:00,0.41,-0.75,Candles Exceeded,2,2024-07-18 04:00:08
FTM/USDT,0.5088,2024-07-18 04:59:54,0.51,2024-07-18 08:00:03,0.5145,2024-07-18 04:00:00,-0.53,-1.63,Candles Exceeded,2,2024-07-18 08:00:03
CELR/USDT,0.01437,2024-07-18 05:18:56,0.01,2024-07-18 06:14:23,0.01456,2024-07-18 04:00:00,1.39,0.07,Profit Reached,1,2024-07-18 06:14:23
HBAR/USDT,0.0749,2024-07-18 05:19:32,0.07,2024-07-18 08:00:03,0.0757,2024-07-18 04:00:00,-0.8,-1.85,Candles Exceeded,2,2024-07-18 08:00:03
RAY/USDT,1.9292,2024-07-18 07:45:36,1.93,2024-07-18 08:00:03,1.9493,2024-07-18 04:00:00,0.09,-0.94,Candles Exceeded,2,2024-07-18 08:00:03
GRT/USDT,0.2099,2024-07-18 07:53:48,0.21,2024-07-18 08:00:03,0.2124,2024-07-18 04:00:00,-0.19,-1.37,Candles Exceeded,2,2024-07-18 08:00:03
SHIB/USDT,1.749e-05,2024-07-18 08:23:19,0.0,2024-07-18 09:21:00,1.768e-05,2024-07-18 08:00:00,1.14,0.06,Profit Reached,1,2024-07-18 09:21:00
ACE/USDT,3.214,2024-07-18 08:36:35,3.25,2024-07-18 11:00:30,3.253,2024-07-18 08:00:00,1.24,0.03,Profit Reached,1,2024-07-18 11:00:30
FTM/USDT,0.5004,2024-07-18 08:39:08,0.5,2024-07-18 12:00:07,0.5058,2024-07-18 08:00:00,-0.14,-1.21,Candles Exceeded,2,2024-07-18 12:00:07
DENT/USDT,0.000934,2024-07-18 08:39:19,0.0,2024-07-18 10:32:31,0.000945,2024-07-18 08:00:00,1.28,0.11,Profit Reached,1,2024-07-18 10:32:31
SHIB/USDT,1.737e-05,2024-07-18 09:38:58,0.0,2024-07-18 12:00:07,1.768e-05,2024-07-18 08:00:00,-0.86,-2.6,Candles Exceeded,2,2024-07-18 12:00:07
TNSR/USDT,0.534,2024-07-18 10:30:32,0.54,2024-07-18 11:37:54,0.5415,2024-07-18 08:00:00,1.46,0.06,Profit Reached,1,2024-07-18 11:37:54
FUN/USDT,0.003888,2024-07-18 10:51:46,0.0,2024-07-18 11:31:24,0.003934,2024-07-18 08:00:00,1.34,0.15,Profit Reached,1,2024-07-18 11:31:24
FORTH/USDT,3.423,2024-07-18 12:29:24,3.25,2024-07-18 16:00:06,3.465,2024-07-18 12:00:00,-5.08,-6.23,Candles Exceeded,2,2024-07-18 16:00:06
CHR/USDT,0.2642,2024-07-18 13:15:01,0.25,2024-07-18 16:00:06,0.2679,2024-07-18 12:00:00,-3.71,-5.04,Candles Exceeded,2,2024-07-18 16:00:06
VIDT/USDT,0.02286,2024-07-18 13:37:06,0.02,2024-07-18 16:00:06,0.0231,2024-07-18 12:00:00,-3.5,-4.5,Candles Exceeded,2,2024-07-18 16:00:06
MATIC/USDT,0.5257,2024-07-18 13:52:03,0.52,2024-07-18 16:00:06,0.5316,2024-07-18 12:00:00,-1.77,-2.86,Candles Exceeded,2,2024-07-18 16:00:06
WRX/USDT,0.1456,2024-07-18 14:02:19,0.15,2024-07-18 16:00:06,0.1483,2024-07-18 12:00:00,-0.34,-2.16,Candles Exceeded,2,2024-07-18 16:00:06
POLYX/USDT,0.2727,2024-07-18 14:16:32,0.27,2024-07-18 16:00:06,0.2757,2024-07-18 12:00:00,-2.24,-3.3,Candles Exceeded,2,2024-07-18 16:00:06
CELR/USDT,0.01403,2024-07-18 14:20:17,0.01,2024-07-18 16:00:06,0.01418,2024-07-18 12:00:00,-2.42,-3.46,Candles Exceeded,2,2024-07-18 16:00:06
UTK/USDT,0.05502,2024-07-18 14:22:25,0.05,2024-07-18 16:00:06,0.05558,2024-07-18 12:00:00,-3.74,-4.71,Candles Exceeded,2,2024-07-18 16:00:06
BTTC/USDT,8.7e-07,2024-07-18 14:34:51,0.0,2024-07-18 16:00:06,8.8e-07,2024-07-18 12:00:00,-1.15,-2.27,Candles Exceeded,2,2024-07-18 16:00:06
BIFI/USDT,335.4,2024-07-18 14:35:07,326.3,2024-07-18 16:00:06,339.0,2024-07-18 12:00:00,-2.71,-3.75,Candles Exceeded,2,2024-07-18 16:00:06
HFT/USDT,0.1988,2024-07-18 14:35:25,0.19,2024-07-18 16:00:06,0.2018,2024-07-18 12:00:00,-2.21,-3.67,Candles Exceeded,2,2024-07-18 16:00:06
DENT/USDT,0.000933,2024-07-18 14:39:24,0.0,2024-07-18 16:00:06,0.000945,2024-07-18 12:00:00,-2.14,-3.39,Candles Exceeded,2,2024-07-18 16:00:06
LRC/USDT,0.1571,2024-07-18 14:40:18,0.16,2024-07-18 16:00:06,0.1601,2024-07-18 12:00:00,-1.15,-3.0,Candles Exceeded,2,2024-07-18 16:00:06
YFI/USDT,5898.0,2024-07-18 14:40:34,5831.0,2024-07-18 16:00:06,5959.0,2024-07-18 12:00:00,-1.14,-2.15,Candles Exceeded,2,2024-07-18 16:00:06
SAND/USDT,0.3328,2024-07-18 14:40:44,0.32,2024-07-18 16:00:06,0.3376,2024-07-18 12:00:00,-3.12,-4.5,Candles Exceeded,2,2024-07-18 16:00:06
ATA/USDT,0.1001,2024-07-18 14:42:33,0.1,2024-07-18 16:00:06,0.1013,2024-07-18 12:00:00,-2.3,-3.46,Candles Exceeded,2,2024-07-18 16:00:06
BAT/USDT,0.1907,2024-07-18 14:48:23,0.19,2024-07-18 16:00:06,0.1935,2024-07-18 12:00:00,-1.0,-2.43,Candles Exceeded,2,2024-07-18 16:00:06
AR/USDT,30.442,2024-07-18 14:51:42,29.85,2024-07-18 16:00:06,30.805,2024-07-18 12:00:00,-1.93,-3.09,Candles Exceeded,2,2024-07-18 16:00:06
QUICK/USDT,0.04074,2024-07-18 15:01:20,0.04,2024-07-18 16:00:06,0.04119,2024-07-18 12:00:00,-1.28,-2.35,Candles Exceeded,2,2024-07-18 16:00:06
WIN/USDT,9.36e-05,2024-07-18 15:07:03,0.0,2024-07-18 16:00:06,9.49e-05,2024-07-18 12:00:00,-0.96,-2.32,Candles Exceeded,2,2024-07-18 16:00:06
LTO/USDT,0.1194,2024-07-18 15:07:43,0.12,2024-07-18 16:00:06,0.1213,2024-07-18 12:00:00,-1.59,-3.13,Candles Exceeded,2,2024-07-18 16:00:06
RAY/USDT,1.9093,2024-07-18 15:10:26,1.91,2024-07-18 16:00:06,1.9506,2024-07-18 12:00:00,0.07,-2.05,Candles Exceeded,2,2024-07-18 16:00:06
VIB/USDT,0.07197,2024-07-18 18:11:30,0.07,2024-07-18 20:00:07,0.0727,2024-07-18 16:00:00,-1.01,-2.01,Candles Exceeded,2,2024-07-18 20:00:07
LINA/USDT,0.005869,2024-07-18 19:25:01,0.01,2024-07-18 20:00:07,0.005964,2024-07-18 16:00:00,0.61,-0.99,Candles Exceeded,2,2024-07-18 20:00:07
DF/USDT,0.03178,2024-07-18 19:26:12,0.03,2024-07-18 20:00:07,0.03216,2024-07-18 16:00:00,0.5,-0.68,Candles Exceeded,2,2024-07-18 20:00:07
AMB/USDT,0.00635,2024-07-18 19:28:00,0.01,2024-07-18 20:00:07,0.00644,2024-07-18 16:00:00,1.1,-0.31,Candles Exceeded,2,2024-07-18 20:00:07
PHA/USDT,0.1267,2024-07-18 20:12:57,0.13,2024-07-18 23:04:44,0.1285,2024-07-18 20:00:00,1.5,0.08,Profit Reached,1,2024-07-18 23:04:44
SFP/USDT,0.8014,2024-07-18 20:50:15,0.81,2024-07-19 00:00:04,0.8096,2024-07-18 20:00:00,0.72,-0.3,Candles Exceeded,2,2024-07-19 00:00:04
TWT/USDT,1.0292,2024-07-18 22:15:39,1.04,2024-07-18 23:18:48,1.0404,2024-07-18 20:00:00,1.17,0.08,Profit Reached,1,2024-07-18 23:18:48
AGLD/USDT,0.927,2024-07-18 22:17:11,0.93,2024-07-19 00:00:04,0.94,2024-07-18 20:00:00,0.76,-0.64,Candles Exceeded,2,2024-07-19 00:00:04
ALCX/USDT,17.88,2024-07-19 00:21:09,18.08,2024-07-19 03:43:52,18.07,2024-07-19 00:00:00,1.12,0.06,Profit Reached,1,2024-07-19 03:43:52
VTHO/USDT,0.002705,2024-07-19 00:36:41,0.0,2024-07-19 03:59:13,0.002733,2024-07-19 00:00:00,1.22,0.18,Profit Reached,1,2024-07-19 03:59:13
AGLD/USDT,0.92,2024-07-19 00:49:08,0.94,2024-07-19 02:15:11,0.934,2024-07-19 00:00:00,1.63,0.11,Profit Reached,1,2024-07-19 02:15:11
AST/USDT,0.0923,2024-07-19 00:51:17,0.09,2024-07-19 03:19:53,0.0933,2024-07-19 00:00:00,1.3,0.21,Profit Reached,1,2024-07-19 03:19:53
WRX/USDT,0.1415,2024-07-19 01:04:34,0.14,2024-07-19 03:40:30,0.1433,2024-07-19 00:00:00,1.34,0.07,Profit Reached,1,2024-07-19 03:40:30
AR/USDT,30.082,2024-07-19 04:26:05,29.64,2024-07-19 08:00:20,30.41,2024-07-19 04:00:00,-1.49,-2.55,Candles Exceeded,2,2024-07-19 08:00:20
FRONT/USDT,0.983,2024-07-19 04:36:38,0.96,2024-07-19 08:00:20,1.002,2024-07-19 04:00:00,-2.34,-4.19,Candles Exceeded,2,2024-07-19 08:00:20
NFP/USDT,0.2993,2024-07-19 04:48:59,0.3,2024-07-19 06:09:14,0.3024,2024-07-19 04:00:00,1.07,0.03,Profit Reached,1,2024-07-19 06:09:14
NEAR/USDT,6.035,2024-07-19 04:53:37,6.11,2024-07-19 06:09:14,6.104,2024-07-19 04:00:00,1.19,0.05,Profit Reached,1,2024-07-19 06:09:14
DENT/USDT,0.000947,2024-07-19 05:01:12,0.0,2024-07-19 06:04:33,0.000959,2024-07-19 04:00:00,1.37,0.1,Profit Reached,1,2024-07-19 06:04:33
MINA/USDT,0.5331,2024-07-19 05:04:38,0.54,2024-07-19 06:05:44,0.5392,2024-07-19 04:00:00,1.16,0.02,Profit Reached,1,2024-07-19 06:05:44
AUCTION/USDT,15.34,2024-07-19 05:05:20,15.52,2024-07-19 06:03:50,15.5,2024-07-19 04:00:00,1.17,0.13,Profit Reached,1,2024-07-19 06:03:50
STX/USDT,1.819,2024-07-19 05:20:24,1.84,2024-07-19 06:17:06,1.839,2024-07-19 04:00:00,1.15,0.05,Profit Reached,1,2024-07-19 06:17:06
COTI/USDT,0.09266,2024-07-19 05:20:47,0.09,2024-07-19 06:06:25,0.09372,2024-07-19 04:00:00,1.15,0.01,Profit Reached,1,2024-07-19 06:06:25
REEF/USDT,0.001508,2024-07-19 05:22:24,0.0,2024-07-19 06:09:02,0.001527,2024-07-19 04:00:00,1.33,0.07,Profit Reached,1,2024-07-19 06:09:02
DODO/USDT,0.1195,2024-07-19 05:22:40,0.12,2024-07-19 06:07:45,0.1208,2024-07-19 04:00:00,1.17,0.08,Profit Reached,1,2024-07-19 06:07:45
BOND/USDT,1.658,2024-07-19 05:23:24,1.52,2024-07-19 08:00:20,1.675,2024-07-19 04:00:00,-8.56,-9.49,Candles Exceeded,2,2024-07-19 08:00:20
API3/USDT,1.941,2024-07-19 05:24:57,1.97,2024-07-19 06:04:04,1.964,2024-07-19 04:00:00,1.49,0.31,Profit Reached,1,2024-07-19 06:04:04
BEAMX/USDT,0.01782,2024-07-19 05:26:39,0.02,2024-07-19 06:07:33,0.01807,2024-07-19 04:00:00,1.46,0.06,Profit Reached,1,2024-07-19 06:07:33
W/USDT,0.319,2024-07-19 05:27:17,0.32,2024-07-19 06:08:24,0.3231,2024-07-19 04:00:00,1.35,0.06,Profit Reached,1,2024-07-19 06:08:24
REN/USDT,0.04938,2024-07-19 05:29:42,0.05,2024-07-19 06:04:48,0.0499,2024-07-19 04:00:00,1.24,0.18,Profit Reached,1,2024-07-19 06:04:48
RLC/USDT,1.923,2024-07-19 05:29:52,1.95,2024-07-19 06:07:45,1.945,2024-07-19 04:00:00,1.2,0.05,Profit Reached,1,2024-07-19 06:07:45
RLC/USDT,1.925,2024-07-19 07:04:02,1.9,2024-07-19 08:00:20,1.945,2024-07-19 04:00:00,-1.09,-2.11,Candles Exceeded,2,2024-07-19 08:00:20
W/USDT,0.3197,2024-07-19 07:10:55,0.32,2024-07-19 08:00:20,0.3231,2024-07-19 04:00:00,-0.75,-1.8,Candles Exceeded,2,2024-07-19 08:00:20
STX/USDT,1.807,2024-07-19 07:13:29,1.8,2024-07-19 08:00:20,1.839,2024-07-19 04:00:00,-0.33,-2.07,Candles Exceeded,2,2024-07-19 08:00:20
NMR/USDT,14.19,2024-07-19 07:14:33,14.12,2024-07-19 08:00:20,14.34,2024-07-19 04:00:00,-0.49,-1.53,Candles Exceeded,2,2024-07-19 08:00:20
REEF/USDT,0.001508,2024-07-19 07:15:30,0.0,2024-07-19 08:00:20,0.001527,2024-07-19 04:00:00,-0.86,-2.1,Candles Exceeded,2,2024-07-19 08:00:20
FORTH/USDT,3.235,2024-07-19 07:34:56,3.22,2024-07-19 08:00:20,3.271,2024-07-19 04:00:00,-0.34,-1.44,Candles Exceeded,2,2024-07-19 08:00:20
QI/USDT,0.01492,2024-07-19 07:36:17,0.01,2024-07-19 08:00:20,0.01511,2024-07-19 04:00:00,-0.2,-1.46,Candles Exceeded,2,2024-07-19 08:00:20
API3/USDT,1.939,2024-07-19 07:36:51,1.93,2024-07-19 08:00:20,1.964,2024-07-19 04:00:00,-0.41,-1.68,Candles Exceeded,2,2024-07-19 08:00:20
RDNT/USDT,0.0992,2024-07-19 07:37:57,0.1,2024-07-19 08:00:20,0.1006,2024-07-19 04:00:00,-0.3,-1.69,Candles Exceeded,2,2024-07-19 08:00:20
NFP/USDT,0.2992,2024-07-19 07:38:46,0.3,2024-07-19 08:00:20,0.3024,2024-07-19 04:00:00,-0.27,-1.32,Candles Exceeded,2,2024-07-19 08:00:20
STRK/USDT,0.564,2024-07-19 07:39:00,0.56,2024-07-19 08:00:20,0.573,2024-07-19 04:00:00,-1.06,-2.62,Candles Exceeded,2,2024-07-19 08:00:20
DUSK/USDT,0.2698,2024-07-19 07:41:21,0.27,2024-07-19 08:00:20,0.2747,2024-07-19 04:00:00,-0.22,-2.0,Candles Exceeded,2,2024-07-19 08:00:20
DENT/USDT,0.000945,2024-07-19 07:41:28,0.0,2024-07-19 07:59:57,0.000959,2024-07-19 04:00:00,0.42,-1.04,Candles Exceeded,2,2024-07-19 07:59:57
KEY/USDT,0.005252,2024-07-19 07:41:29,0.01,2024-07-19 07:59:57,0.00533,2024-07-19 04:00:00,0.51,-0.96,Candles Exceeded,2,2024-07-19 07:59:57
WRX/USDT,0.1418,2024-07-19 07:41:59,0.14,2024-07-19 07:59:57,0.1436,2024-07-19 04:00:00,0.21,-1.04,Candles Exceeded,2,2024-07-19 07:59:57
COTI/USDT,0.09264,2024-07-19 07:42:05,0.09,2024-07-19 07:59:57,0.09372,2024-07-19 04:00:00,-0.14,-1.29,Candles Exceeded,2,2024-07-19 07:59:57
UMA/USDT,2.187,2024-07-19 07:43:01,2.18,2024-07-19 07:59:57,2.213,2024-07-19 04:00:00,-0.23,-1.4,Candles Exceeded,2,2024-07-19 07:59:57
GRT/USDT,0.202,2024-07-19 07:43:37,0.2,2024-07-19 07:59:57,0.2051,2024-07-19 04:00:00,-0.25,-1.76,Candles Exceeded,2,2024-07-19 07:59:57
DODO/USDT,0.1187,2024-07-19 07:43:57,0.12,2024-07-19 07:59:57,0.1208,2024-07-19 04:00:00,0.08,-1.66,Candles Exceeded,2,2024-07-19 07:59:57
MINA/USDT,0.5325,2024-07-19 07:44:48,0.53,2024-07-19 07:59:57,0.5392,2024-07-19 04:00:00,-0.11,-1.35,Candles Exceeded,2,2024-07-19 07:59:57
BEAMX/USDT,0.01788,2024-07-19 07:47:50,0.02,2024-07-19 07:59:57,0.01807,2024-07-19 04:00:00,-0.22,-1.27,Candles Exceeded,2,2024-07-19 07:59:57
REN/USDT,0.04939,2024-07-19 07:50:50,0.05,2024-07-19 07:59:57,0.0499,2024-07-19 04:00:00,0.04,-0.98,Candles Exceeded,2,2024-07-19 07:59:57
KNC/USDT,0.5519,2024-07-19 07:51:27,0.55,2024-07-19 07:59:57,0.5581,2024-07-19 04:00:00,0.2,-0.91,Candles Exceeded,2,2024-07-19 07:59:57
AVA/USDT,0.627,2024-07-19 07:52:42,0.63,2024-07-19 07:59:57,0.6338,2024-07-19 04:00:00,0.19,-0.88,Candles Exceeded,2,2024-07-19 07:59:57
MOVR/USDT,10.801,2024-07-19 07:54:38,10.82,2024-07-19 07:59:57,10.941,2024-07-19 04:00:00,0.17,-1.12,Candles Exceeded,2,2024-07-19 07:59:57
PROS/USDT,0.3739,2024-07-19 07:55:58,0.37,2024-07-19 07:59:57,0.3781,2024-07-19 04:00:00,0.24,-0.87,Candles Exceeded,2,2024-07-19 07:59:57
LQTY/USDT,0.855,2024-07-19 07:56:04,0.85,2024-07-19 07:59:57,0.864,2024-07-19 04:00:00,-0.12,-1.16,Candles Exceeded,2,2024-07-19 07:59:57
PROM/USDT,7.146,2024-07-19 07:56:11,7.12,2024-07-19 07:59:57,7.224,2024-07-19 04:00:00,-0.29,-1.37,Candles Exceeded,2,2024-07-19 07:59:57
REEF/USDT,0.00148,2024-07-19 08:11:33,0.0,2024-07-19 08:32:05,0.001495,2024-07-19 08:00:00,1.08,0.07,Profit Reached,1,2024-07-19 08:32:05
IDEX/USDT,0.04228,2024-07-19 08:13:04,0.04,2024-07-19 12:00:03,0.04271,2024-07-19 08:00:00,-0.21,-1.22,Candles Exceeded,2,2024-07-19 12:00:03
YGG/USDT,0.5069,2024-07-19 08:13:11,0.51,2024-07-19 12:00:03,0.5124,2024-07-19 08:00:00,0.12,-0.96,Candles Exceeded,2,2024-07-19 12:00:03
BICO/USDT,0.3367,2024-07-19 08:13:51,0.33,2024-07-19 12:00:03,0.3415,2024-07-19 08:00:00,-0.56,-1.96,Candles Exceeded,2,2024-07-19 12:00:03
BTTC/USDT,8.6e-07,2024-07-19 08:14:13,0.0,2024-07-19 09:10:06,8.7e-07,2024-07-19 08:00:00,2.33,1.15,Profit Reached,1,2024-07-19 09:10:06
LEVER/USDT,0.002387,2024-07-19 08:14:37,0.0,2024-07-19 08:45:34,0.002414,2024-07-19 08:00:00,1.21,0.08,Profit Reached,1,2024-07-19 08:45:34
HFT/USDT,0.1934,2024-07-19 08:14:46,0.19,2024-07-19 12:00:03,0.1958,2024-07-19 08:00:00,0.41,-0.82,Candles Exceeded,2,2024-07-19 12:00:03
PHB/USDT,1.6975,2024-07-19 08:14:48,1.72,2024-07-19 08:45:17,1.717,2024-07-19 08:00:00,1.18,0.03,Profit Reached,1,2024-07-19 08:45:17
MAGIC/USDT,0.5196,2024-07-19 08:14:50,0.52,2024-07-19 12:00:03,0.5282,2024-07-19 08:00:00,0.42,-1.21,Candles Exceeded,2,2024-07-19 12:00:03
USTC/USDT,0.01921,2024-07-19 08:15:05,0.02,2024-07-19 10:48:15,0.01946,2024-07-19 08:00:00,3.64,2.31,Profit Reached,1,2024-07-19 10:48:15
EDU/USDT,0.6937,2024-07-19 08:15:21,0.7,2024-07-19 08:32:05,0.7017,2024-07-19 08:00:00,1.24,0.09,Profit Reached,1,2024-07-19 08:32:05
MEME/USDT,0.01581,2024-07-19 08:15:51,0.02,2024-07-19 09:04:53,0.01598,2024-07-19 08:00:00,1.14,0.06,Profit Reached,1,2024-07-19 09:04:53
ACE/USDT,3.069,2024-07-19 08:16:05,3.11,2024-07-19 08:28:09,3.103,2024-07-19 08:00:00,1.27,0.16,Profit Reached,1,2024-07-19 08:28:09
NFP/USDT,0.2946,2024-07-19 08:16:07,0.3,2024-07-19 12:00:03,0.2986,2024-07-19 08:00:00,0.48,-0.87,Candles Exceeded,2,2024-07-19 12:00:03
XAI/USDT,0.37,2024-07-19 08:16:09,0.37,2024-07-19 08:37:28,0.3744,2024-07-19 08:00:00,1.24,0.05,Profit Reached,1,2024-07-19 08:37:28
MANTA/USDT,0.978,2024-07-19 08:16:11,0.99,2024-07-19 09:07:54,0.99,2024-07-19 08:00:00,1.33,0.1,Profit Reached,1,2024-07-19 09:07:54
PYTH/USDT,0.34,2024-07-19 08:16:15,0.34,2024-07-19 08:32:05,0.3439,2024-07-19 08:00:00,1.18,0.03,Profit Reached,1,2024-07-19 08:32:05
PIXEL/USDT,0.2148,2024-07-19 08:16:19,0.22,2024-07-19 08:32:05,0.2172,2024-07-19 08:00:00,1.26,0.14,Profit Reached,1,2024-07-19 08:32:05
PORTAL/USDT,0.4319,2024-07-19 08:16:21,0.44,2024-07-19 08:32:05,0.4372,2024-07-19 08:00:00,1.41,0.18,Profit Reached,1,2024-07-19 08:32:05
AXL/USDT,0.7194,2024-07-19 08:16:24,0.71,2024-07-19 12:00:03,0.7273,2024-07-19 08:00:00,-0.9,-1.98,Candles Exceeded,2,2024-07-19 12:00:03
IO/USDT,2.745,2024-07-19 08:16:44,2.79,2024-07-19 09:03:35,2.793,2024-07-19 08:00:00,1.79,0.04,Profit Reached,1,2024-07-19 09:03:35
NULS/USDT,0.3548,2024-07-19 08:18:10,0.36,2024-07-19 09:05:24,0.3588,2024-07-19 08:00:00,1.27,0.14,Profit Reached,1,2024-07-19 09:05:24
ZRX/USDT,0.3543,2024-07-19 08:18:20,0.36,2024-07-19 09:03:19,0.3586,2024-07-19 08:00:00,1.24,0.03,Profit Reached,1,2024-07-19 09:03:19
CHZ/USDT,0.0702,2024-07-19 08:18:56,0.07,2024-07-19 12:00:03,0.071,2024-07-19 08:00:00,0.0,-1.13,Candles Exceeded,2,2024-07-19 12:00:03
ARPA/USDT,0.04252,2024-07-19 08:19:08,0.04,2024-07-19 12:00:03,0.04296,2024-07-19 08:00:00,0.49,-0.54,Candles Exceeded,2,2024-07-19 12:00:03
