coin,buy_price,buy_date,sell_price,sell_date,previous_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
ACM/USDT,1.708,2024-07-17 09:54:22,1.68,2024-07-17 12:00:10,1.727,2024-07-17 08:00:00,-1.58,-2.66,Candles Exceeded,2,2024-07-17 12:00:10
SYN/USDT,0.4784,2024-07-17 11:13:26,0.48,2024-07-17 12:00:10,0.4837,2024-07-17 08:00:00,-0.29,-1.39,Candles Exceeded,2,2024-07-17 12:00:10
UFT/USDT,0.3067,2024-07-17 11:23:06,0.31,2024-07-17 12:00:10,0.3101,2024-07-17 08:00:00,-0.52,-1.61,Candles Exceeded,2,2024-07-17 12:00:10
BNT/USDT,0.6308,2024-07-17 11:36:44,0.63,2024-07-17 12:00:10,0.6375,2024-07-17 08:00:00,0.32,-0.74,Candles Exceeded,2,2024-07-17 12:00:10
LPT/USDT,15.49,2024-07-17 11:39:15,15.57,2024-07-17 12:00:10,15.726,2024-07-17 08:00:00,0.51,-1.0,Candles Exceeded,2,2024-07-17 12:00:10
DCR/USDT,13.84,2024-07-17 12:05:36,14.02,2024-07-17 12:24:12,14.01,2024-07-17 12:00:00,1.3,0.07,Profit Reached,1,2024-07-17 12:24:12
MKR/USDT,2914.0,2024-07-17 14:09:20,2856.0,2024-07-17 16:00:02,2960.0,2024-07-17 12:00:00,-1.99,-3.51,Candles Exceeded,2,2024-07-17 16:00:02
UTK/USDT,0.05628,2024-07-17 14:57:38,0.06,2024-07-17 16:00:02,0.0571,2024-07-17 12:00:00,-0.64,-2.07,Candles Exceeded,2,2024-07-17 16:00:02
QNT/USDT,77.7,2024-07-17 16:15:24,78.1,2024-07-17 20:00:02,78.6,2024-07-17 16:00:00,0.51,-0.64,Candles Exceeded,2,2024-07-17 20:00:02
WOO/USDT,0.204,2024-07-17 16:16:58,0.21,2024-07-17 18:40:08,0.207,2024-07-17 16:00:00,1.52,0.05,Profit Reached,1,2024-07-17 18:40:08
APE/USDT,0.818,2024-07-17 16:17:06,0.83,2024-07-17 18:43:58,0.83,2024-07-17 16:00:00,1.59,0.12,Profit Reached,1,2024-07-17 18:43:58
