coin,buy_price,buy_date,sell_price,sell_date,last_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
CHR/USDT,0.2755,2024-07-18 04:12:33,0.28,2024-07-18 04:52:21,0.2757,2024-07-18 04:00:00,2.18,2.1,Profit Reached,1,2024-07-18 04:52:21
CHR/USDT,0.274,2024-07-18 05:15:47,0.26,2024-07-19 04:00:21,0.2757,2024-07-18 04:00:00,-4.12,-4.72,Candles Exceeded,7,2024-07-19 04:00:21
HOOK/USDT,0.5375,2024-07-18 08:01:23,0.55,2024-07-18 13:01:07,0.5383,2024-07-18 08:00:00,2.16,2.01,Profit Reached,2,2024-07-18 13:01:07
GAS/USDT,3.789,2024-07-18 08:01:38,3.82,2024-07-19 08:00:26,3.796,2024-07-18 08:00:00,0.74,0.55,Candles Exceeded,7,2024-07-19 08:00:26
OMNI/USDT,13.4,2024-07-18 08:03:01,13.7,2024-07-18 13:18:46,13.43,2024-07-18 08:00:00,2.24,2.01,Profit Reached,2,2024-07-18 13:18:46
CELR/USDT,0.01443,2024-07-18 08:04:48,0.01,2024-07-19 08:00:26,0.01451,2024-07-18 08:00:00,-1.32,-1.86,Candles Exceeded,7,2024-07-19 08:00:26
DENT/USDT,0.000943,2024-07-18 08:05:10,0.0,2024-07-18 08:11:25,0.000945,2024-07-18 08:00:00,2.44,2.22,Profit Reached,1,2024-07-18 08:11:25
YGG/USDT,0.5499,2024-07-18 08:08:49,0.51,2024-07-19 08:00:26,0.5527,2024-07-18 08:00:00,-6.93,-7.4,Candles Exceeded,7,2024-07-19 08:00:26
CVC/USDT,0.1066,2024-07-18 08:23:09,0.11,2024-07-19 08:00:26,0.1069,2024-07-18 08:00:00,1.69,1.4,Candles Exceeded,7,2024-07-19 08:00:26
JOE/USDT,0.3456,2024-07-18 08:27:31,0.34,2024-07-19 08:00:26,0.3463,2024-07-18 08:00:00,-1.36,-1.56,Candles Exceeded,7,2024-07-19 08:00:26
ENS/USDT,26.1,2024-07-18 08:35:56,26.69,2024-07-18 12:34:25,26.16,2024-07-18 08:00:00,2.26,2.03,Profit Reached,2,2024-07-18 12:34:25
DENT/USDT,0.000941,2024-07-18 08:40:45,0.0,2024-07-19 06:08:46,0.000945,2024-07-18 08:00:00,2.44,2.01,Profit Reached,6,2024-07-19 06:08:46
MLN/USDT,19.74,2024-07-18 09:54:09,19.19,2024-07-19 08:00:26,19.76,2024-07-18 08:00:00,-2.79,-2.88,Candles Exceeded,7,2024-07-19 08:00:26
AXL/USDT,0.7685,2024-07-18 12:00:32,0.71,2024-07-19 12:00:44,0.7695,2024-07-18 12:00:00,-7.2,-7.32,Candles Exceeded,7,2024-07-19 12:00:44
VITE/USDT,0.01673,2024-07-18 12:03:17,0.02,2024-07-19 12:00:44,0.01676,2024-07-18 12:00:00,-6.81,-6.98,Candles Exceeded,7,2024-07-19 12:00:44
AVA/USDT,0.657,2024-07-18 12:04:55,0.62,2024-07-19 12:00:44,0.6571,2024-07-18 12:00:00,-5.46,-5.48,Candles Exceeded,7,2024-07-19 12:00:44
CELO/USDT,0.5889,2024-07-18 12:05:09,0.58,2024-07-19 12:00:44,0.589,2024-07-18 12:00:00,-1.65,-1.66,Candles Exceeded,7,2024-07-19 12:00:44
MBOX/USDT,0.2413,2024-07-18 12:06:14,0.25,2024-07-18 12:33:46,0.2414,2024-07-18 12:00:00,2.45,2.4,Profit Reached,1,2024-07-18 12:33:46
BEAMX/USDT,0.0186,2024-07-18 12:26:24,0.02,2024-07-18 13:20:22,0.01862,2024-07-18 12:00:00,2.2,2.09,Profit Reached,1,2024-07-18 13:20:22
OGN/USDT,0.098,2024-07-18 12:29:40,0.09,2024-07-19 12:00:44,0.0986,2024-07-18 12:00:00,-3.67,-4.26,Candles Exceeded,7,2024-07-19 12:00:44
STEEM/USDT,0.2002,2024-07-18 12:33:58,0.2,2024-07-19 12:00:44,0.2006,2024-07-18 12:00:00,-1.45,-1.65,Candles Exceeded,7,2024-07-19 12:00:44
PROM/USDT,7.467,2024-07-18 12:34:31,7.05,2024-07-19 12:00:44,7.473,2024-07-18 12:00:00,-5.57,-5.65,Candles Exceeded,7,2024-07-19 12:00:44
DATA/USDT,0.0404,2024-07-18 12:55:59,0.04,2024-07-19 12:00:44,0.04041,2024-07-18 12:00:00,-6.19,-6.21,Candles Exceeded,7,2024-07-19 12:00:44
SEI/USDT,0.3534,2024-07-18 13:36:06,0.35,2024-07-19 12:00:44,0.3536,2024-07-18 12:00:00,-1.08,-1.13,Candles Exceeded,7,2024-07-19 12:00:44
FIRO/USDT,1.341,2024-07-18 13:41:26,1.31,2024-07-19 12:00:44,1.343,2024-07-18 12:00:00,-2.39,-2.53,Candles Exceeded,7,2024-07-19 12:00:44
KMD/USDT,0.3378,2024-07-18 13:49:03,0.32,2024-07-19 12:00:44,0.3383,2024-07-18 12:00:00,-5.8,-5.94,Candles Exceeded,7,2024-07-19 12:00:44
MASK/USDT,2.444,2024-07-18 13:50:46,2.42,2024-07-19 12:00:44,2.445,2024-07-18 12:00:00,-1.06,-1.1,Candles Exceeded,7,2024-07-19 12:00:44
GTC/USDT,0.89,2024-07-18 13:50:52,0.85,2024-07-19 12:00:44,0.891,2024-07-18 12:00:00,-4.49,-4.6,Candles Exceeded,7,2024-07-19 12:00:44
BEAMX/USDT,0.01856,2024-07-18 13:53:48,0.02,2024-07-19 12:00:44,0.01862,2024-07-18 12:00:00,-4.96,-5.26,Candles Exceeded,7,2024-07-19 12:00:44
OMNI/USDT,13.5,2024-07-18 13:54:31,13.82,2024-07-19 06:25:17,13.53,2024-07-18 12:00:00,2.37,2.14,Profit Reached,5,2024-07-19 06:25:17
BONK/USDT,2.739e-05,2024-07-18 14:02:36,0.0,2024-07-19 12:00:44,2.745e-05,2024-07-18 12:00:00,0.69,0.47,Candles Exceeded,7,2024-07-19 12:00:44
HOOK/USDT,0.5384,2024-07-18 14:36:02,0.55,2024-07-19 06:20:38,0.5392,2024-07-18 12:00:00,2.27,2.11,Profit Reached,5,2024-07-19 06:20:38
SOL/USDT,159.28,2024-07-18 14:40:20,163.0,2024-07-19 06:02:36,159.45,2024-07-18 12:00:00,2.34,2.23,Profit Reached,5,2024-07-19 06:02:36
MBOX/USDT,0.2406,2024-07-18 14:42:51,0.24,2024-07-19 12:00:44,0.2414,2024-07-18 12:00:00,-1.83,-2.15,Candles Exceeded,7,2024-07-19 12:00:44
ENS/USDT,26.06,2024-07-18 16:00:29,26.19,2024-07-19 16:00:08,26.07,2024-07-18 16:00:00,0.5,0.46,Candles Exceeded,7,2024-07-19 16:00:08
OOKI/USDT,0.001691,2024-07-18 16:00:53,0.0,2024-07-19 06:46:45,0.001692,2024-07-18 16:00:00,2.07,2.01,Profit Reached,4,2024-07-19 06:46:45
1000SATS/USDT,0.0002725,2024-07-18 16:02:38,0.0,2024-07-19 03:12:28,0.0002757,2024-07-18 16:00:00,3.52,2.32,Profit Reached,3,2024-07-19 03:12:28
JUP/USDT,0.9279,2024-07-18 16:02:47,0.95,2024-07-18 21:21:16,0.9336,2024-07-18 16:00:00,2.73,2.1,Profit Reached,2,2024-07-18 21:21:16
ONG/USDT,0.3256,2024-07-18 16:04:47,0.34,2024-07-18 22:40:58,0.3287,2024-07-18 16:00:00,3.01,2.04,Profit Reached,2,2024-07-18 22:40:58
FTM/USDT,0.4735,2024-07-18 16:05:08,0.49,2024-07-19 15:48:52,0.4806,2024-07-18 16:00:00,3.57,2.04,Profit Reached,6,2024-07-19 15:48:52
KEY/USDT,0.005248,2024-07-18 16:05:19,0.01,2024-07-19 16:00:08,0.005292,2024-07-18 16:00:00,2.36,1.51,Candles Exceeded,7,2024-07-19 16:00:08
CHZ/USDT,0.0689,2024-07-18 16:05:24,0.07,2024-07-19 02:47:04,0.0695,2024-07-18 16:00:00,2.9,2.01,Profit Reached,3,2024-07-19 02:47:04
RVN/USDT,0.01953,2024-07-18 16:05:28,0.02,2024-07-19 03:42:54,0.01969,2024-07-18 16:00:00,2.87,2.03,Profit Reached,3,2024-07-19 03:42:54
NKN/USDT,0.0795,2024-07-18 16:05:31,0.08,2024-07-19 03:42:23,0.0804,2024-07-18 16:00:00,3.27,2.11,Profit Reached,3,2024-07-19 03:42:23
KAVA/USDT,0.4074,2024-07-18 16:05:34,0.42,2024-07-19 16:00:08,0.4113,2024-07-18 16:00:00,2.43,1.46,Candles Exceeded,7,2024-07-19 16:00:08
RSR/USDT,0.005461,2024-07-18 16:06:32,0.01,2024-07-18 17:02:49,0.005478,2024-07-18 16:00:00,2.34,2.03,Profit Reached,1,2024-07-18 17:02:49
UTK/USDT,0.0527,2024-07-18 16:06:56,0.05,2024-07-19 14:22:08,0.05292,2024-07-18 16:00:00,2.73,2.31,Profit Reached,6,2024-07-19 14:22:08
TRU/USDT,0.1313,2024-07-18 16:07:28,0.13,2024-07-18 16:59:55,0.1314,2024-07-18 16:00:00,2.44,2.36,Profit Reached,1,2024-07-18 16:59:55
WAXP/USDT,0.0387,2024-07-18 16:08:34,0.04,2024-07-18 23:32:17,0.03877,2024-07-18 16:00:00,2.3,2.12,Profit Reached,2,2024-07-18 23:32:17
JASMY/USDT,0.02792,2024-07-18 16:09:14,0.03,2024-07-19 06:07:31,0.02815,2024-07-18 16:00:00,3.19,2.34,Profit Reached,4,2024-07-19 06:07:31
API3/USDT,1.936,2024-07-18 16:09:40,1.98,2024-07-19 04:03:47,1.937,2024-07-18 16:00:00,2.07,2.01,Profit Reached,4,2024-07-19 04:03:47
PHA/USDT,0.1289,2024-07-18 18:05:16,0.13,2024-07-19 06:11:47,0.1292,2024-07-18 16:00:00,2.25,2.01,Profit Reached,4,2024-07-19 06:11:47
RSR/USDT,0.005475,2024-07-18 18:20:15,0.01,2024-07-19 02:14:29,0.005478,2024-07-18 16:00:00,2.06,2.01,Profit Reached,3,2024-07-19 02:14:29
ALPHA/USDT,0.0716,2024-07-18 20:00:28,0.07,2024-07-18 22:57:56,0.0717,2024-07-18 20:00:00,2.23,2.09,Profit Reached,1,2024-07-18 22:57:56
TRU/USDT,0.134,2024-07-18 20:00:57,0.14,2024-07-18 23:33:32,0.1341,2024-07-18 20:00:00,2.16,2.09,Profit Reached,1,2024-07-18 23:33:32
LIT/USDT,0.753,2024-07-18 20:01:01,0.77,2024-07-19 04:02:16,0.754,2024-07-18 20:00:00,2.26,2.12,Profit Reached,3,2024-07-19 04:02:16
FIS/USDT,0.3695,2024-07-18 20:01:09,0.38,2024-07-19 00:02:20,0.3703,2024-07-18 20:00:00,2.25,2.03,Profit Reached,2,2024-07-19 00:02:20
MINA/USDT,0.5254,2024-07-18 20:01:53,0.54,2024-07-19 03:22:00,0.5255,2024-07-18 20:00:00,2.11,2.09,Profit Reached,2,2024-07-19 03:22:00
ALPACA/USDT,0.1259,2024-07-18 20:01:58,0.13,2024-07-19 03:59:46,0.126,2024-07-18 20:00:00,2.14,2.06,Profit Reached,2,2024-07-19 03:59:46
AGLD/USDT,0.939,2024-07-18 20:02:22,0.96,2024-07-19 03:34:38,0.94,2024-07-18 20:00:00,2.24,2.13,Profit Reached,2,2024-07-19 03:34:38
HFT/USDT,0.193,2024-07-18 20:03:42,0.2,2024-07-19 03:55:45,0.1931,2024-07-18 20:00:00,2.18,2.12,Profit Reached,2,2024-07-19 03:55:45
RDNT/USDT,0.0999,2024-07-18 20:04:08,0.1,2024-07-19 16:16:31,0.1,2024-07-18 20:00:00,2.2,2.1,Profit Reached,6,2024-07-19 16:16:31
SNT/USDT,0.02468,2024-07-18 20:04:19,0.03,2024-07-19 03:07:09,0.02469,2024-07-18 20:00:00,2.07,2.03,Profit Reached,2,2024-07-19 03:07:09
WRX/USDT,0.1427,2024-07-18 20:07:46,0.14,2024-07-19 20:00:17,0.1439,2024-07-18 20:00:00,-2.17,-2.99,Candles Exceeded,7,2024-07-19 20:00:17
SNX/USDT,1.9,2024-07-18 20:08:11,1.94,2024-07-19 13:41:16,1.904,2024-07-18 20:00:00,2.32,2.1,Profit Reached,5,2024-07-19 13:41:16
VTHO/USDT,0.002679,2024-07-18 20:08:12,0.0,2024-07-19 04:05:14,0.002693,2024-07-18 20:00:00,2.58,2.04,Profit Reached,3,2024-07-19 04:05:14
NMR/USDT,13.92,2024-07-18 20:08:30,14.24,2024-07-18 22:45:33,13.96,2024-07-18 20:00:00,2.3,2.01,Profit Reached,1,2024-07-18 22:45:33
ORN/USDT,1.466,2024-07-18 20:08:56,1.5,2024-07-18 23:19:47,1.4743,2024-07-18 20:00:00,2.59,2.01,Profit Reached,1,2024-07-18 23:19:47
ATA/USDT,0.0959,2024-07-18 20:10:07,0.1,2024-07-18 22:48:12,0.0964,2024-07-18 20:00:00,2.61,2.07,Profit Reached,1,2024-07-18 22:48:12
T/USDT,0.02275,2024-07-18 20:11:37,0.02,2024-07-18 22:42:46,0.02282,2024-07-18 20:00:00,2.42,2.1,Profit Reached,1,2024-07-18 22:42:46
EDU/USDT,0.7085,2024-07-18 20:12:29,0.73,2024-07-18 23:35:41,0.7115,2024-07-18 20:00:00,2.44,2.01,Profit Reached,1,2024-07-18 23:35:41
FLOKI/USDT,0.00016951,2024-07-18 20:12:34,0.0,2024-07-18 21:14:38,0.00016996,2024-07-18 20:00:00,2.27,2.0,Profit Reached,1,2024-07-18 21:14:38
MAV/USDT,0.2157,2024-07-18 20:12:38,0.22,2024-07-18 22:38:09,0.2163,2024-07-18 20:00:00,2.32,2.03,Profit Reached,1,2024-07-18 22:38:09
ORDI/USDT,36.11,2024-07-18 20:12:56,37.03,2024-07-18 22:29:44,36.28,2024-07-18 20:00:00,2.55,2.07,Profit Reached,1,2024-07-18 22:29:44
ZK/USDT,0.1626,2024-07-18 20:13:41,0.17,2024-07-18 22:46:27,0.1633,2024-07-18 20:00:00,2.52,2.08,Profit Reached,1,2024-07-18 22:46:27
ONT/USDT,0.2014,2024-07-18 20:15:04,0.21,2024-07-19 03:40:18,0.2023,2024-07-18 20:00:00,2.58,2.13,Profit Reached,2,2024-07-19 03:40:18
CTSI/USDT,0.1639,2024-07-19 00:01:36,0.17,2024-07-19 16:39:29,0.1641,2024-07-19 00:00:00,2.14,2.01,Profit Reached,5,2024-07-19 16:39:29
NEAR/USDT,6.039,2024-07-19 00:02:38,6.18,2024-07-19 13:55:35,6.04,2024-07-19 00:00:00,2.3,2.28,Profit Reached,4,2024-07-19 13:55:35
SKL/USDT,0.04771,2024-07-19 00:02:53,0.05,2024-07-19 16:02:05,0.04775,2024-07-19 00:00:00,2.2,2.12,Profit Reached,5,2024-07-19 16:02:05
BADGER/USDT,3.19,2024-07-19 00:03:15,3.26,2024-07-19 05:48:14,3.194,2024-07-19 00:00:00,2.23,2.1,Profit Reached,2,2024-07-19 05:48:14
PERP/USDT,0.676,2024-07-19 00:03:25,0.69,2024-07-19 15:00:38,0.678,2024-07-19 00:00:00,2.37,2.06,Profit Reached,4,2024-07-19 15:00:38
MDX/USDT,0.04375,2024-07-19 00:03:45,0.04,2024-07-20 00:00:21,0.04393,2024-07-19 00:00:00,-14.72,-15.07,Candles Exceeded,7,2024-07-20 00:00:21
ATA/USDT,0.0986,2024-07-19 00:03:49,0.1,2024-07-19 06:14:44,0.0989,2024-07-19 00:00:00,2.33,2.02,Profit Reached,2,2024-07-19 06:14:44
RAY/USDT,1.9472,2024-07-19 00:04:01,1.99,2024-07-19 04:04:15,1.9473,2024-07-19 00:00:00,2.02,2.01,Profit Reached,2,2024-07-19 04:04:15
DF/USDT,0.03229,2024-07-19 00:04:23,0.03,2024-07-19 13:56:58,0.03235,2024-07-19 00:00:00,2.23,2.04,Profit Reached,4,2024-07-19 13:56:58
GMX/USDT,27.94,2024-07-19 00:05:42,28.59,2024-07-19 16:37:04,28.02,2024-07-19 00:00:00,2.33,2.03,Profit Reached,5,2024-07-19 16:37:04
WLD/USDT,2.646,2024-07-19 00:06:29,2.71,2024-07-19 15:12:30,2.651,2024-07-19 00:00:00,2.27,2.07,Profit Reached,4,2024-07-19 15:12:30
ENA/USDT,0.483,2024-07-19 00:07:17,0.5,2024-07-19 16:34:51,0.49,2024-07-19 00:00:00,3.73,2.24,Profit Reached,5,2024-07-19 16:34:51
ONG/USDT,0.3356,2024-07-19 00:08:59,0.34,2024-07-19 07:28:07,0.3359,2024-07-19 00:00:00,2.21,2.11,Profit Reached,2,2024-07-19 07:28:07
REN/USDT,0.04932,2024-07-19 00:09:35,0.05,2024-07-19 18:10:47,0.04959,2024-07-19 00:00:00,2.58,2.02,Profit Reached,5,2024-07-19 18:10:47
ARPA/USDT,0.04304,2024-07-19 00:09:39,0.04,2024-07-19 17:52:03,0.04323,2024-07-19 00:00:00,2.46,2.01,Profit Reached,5,2024-07-19 17:52:03
BNT/USDT,0.6296,2024-07-19 00:09:51,0.64,2024-07-19 16:25:22,0.6304,2024-07-19 00:00:00,2.14,2.01,Profit Reached,5,2024-07-19 16:25:22
NMR/USDT,14.22,2024-07-19 00:10:28,14.56,2024-07-19 15:17:16,14.27,2024-07-19 00:00:00,2.39,2.03,Profit Reached,4,2024-07-19 15:17:16
ALPHA/USDT,0.073,2024-07-19 00:10:56,0.07,2024-07-19 14:21:08,0.0733,2024-07-19 00:00:00,2.47,2.05,Profit Reached,4,2024-07-19 14:21:08
IDEX/USDT,0.04269,2024-07-19 00:12:26,0.04,2024-07-19 16:03:10,0.04274,2024-07-19 00:00:00,2.13,2.01,Profit Reached,5,2024-07-19 16:03:10
GLM/USDT,0.3417,2024-07-19 00:14:12,0.35,2024-07-19 16:02:05,0.342,2024-07-19 00:00:00,2.19,2.11,Profit Reached,5,2024-07-19 16:02:05
QKC/USDT,0.007852,2024-07-19 00:14:14,0.01,2024-07-19 02:45:27,0.007882,2024-07-19 00:00:00,2.5,2.11,Profit Reached,1,2024-07-19 02:45:27
EDU/USDT,0.724,2024-07-19 00:14:23,0.73,2024-07-20 00:00:21,0.7246,2024-07-19 00:00:00,0.25,0.17,Candles Exceeded,7,2024-07-20 00:00:21
MAV/USDT,0.2212,2024-07-19 00:14:32,0.23,2024-07-19 16:18:56,0.2225,2024-07-19 00:00:00,2.71,2.11,Profit Reached,5,2024-07-19 16:18:56
JTO/USDT,2.458,2024-07-19 00:14:58,2.51,2024-07-19 03:03:50,2.463,2024-07-19 00:00:00,2.28,2.07,Profit Reached,1,2024-07-19 03:03:50
ZK/USDT,0.1666,2024-07-19 00:15:36,0.17,2024-07-19 05:09:34,0.1672,2024-07-19 00:00:00,2.64,2.27,Profit Reached,2,2024-07-19 05:09:34
REEF/USDT,0.001519,2024-07-19 00:19:15,0.0,2024-07-19 16:26:48,0.001524,2024-07-19 00:00:00,2.37,2.03,Profit Reached,5,2024-07-19 16:26:48
OG/USDT,3.223,2024-07-19 00:19:16,3.3,2024-07-19 16:13:40,3.238,2024-07-19 00:00:00,2.48,2.01,Profit Reached,5,2024-07-19 16:13:40
XVG/USDT,0.004461,2024-07-19 00:19:59,0.0,2024-07-19 14:10:37,0.0045,2024-07-19 00:00:00,3.0,2.11,Profit Reached,4,2024-07-19 14:10:37
ERN/USDT,2.34,2024-07-19 00:20:00,2.4,2024-07-19 14:56:04,2.352,2024-07-19 00:00:00,2.61,2.08,Profit Reached,4,2024-07-19 14:56:04
VIDT/USDT,0.02192,2024-07-19 00:20:25,0.02,2024-07-19 15:02:25,0.02203,2024-07-19 00:00:00,2.55,2.04,Profit Reached,4,2024-07-19 15:02:25
LAZIO/USDT,1.447,2024-07-19 00:20:40,1.48,2024-07-19 15:46:25,1.451,2024-07-19 00:00:00,2.35,2.07,Profit Reached,4,2024-07-19 15:46:25
T/USDT,0.02324,2024-07-19 00:21:28,0.02,2024-07-19 02:47:04,0.02341,2024-07-19 00:00:00,2.97,2.22,Profit Reached,1,2024-07-19 02:47:04
HIFI/USDT,0.4622,2024-07-19 00:21:55,0.48,2024-07-19 02:33:51,0.4659,2024-07-19 00:00:00,2.83,2.02,Profit Reached,1,2024-07-19 02:33:51
AI/USDT,0.621,2024-07-19 00:22:52,0.64,2024-07-19 14:20:37,0.622,2024-07-19 00:00:00,2.25,2.09,Profit Reached,4,2024-07-19 14:20:37
LSK/USDT,1.02,2024-07-19 01:03:36,1.05,2024-07-19 03:09:18,1.027,2024-07-19 00:00:00,2.75,2.04,Profit Reached,1,2024-07-19 03:09:18
RSR/USDT,0.005562,2024-07-19 02:27:17,0.01,2024-07-19 06:08:07,0.005569,2024-07-19 00:00:00,2.18,2.05,Profit Reached,2,2024-07-19 06:08:07
1000SATS/USDT,0.00028,2024-07-19 04:04:32,0.0,2024-07-19 14:27:36,0.0002804,2024-07-19 04:00:00,2.61,2.46,Profit Reached,3,2024-07-19 14:27:36
ANKR/USDT,0.0313,2024-07-19 04:07:02,0.03,2024-07-19 16:36:14,0.03132,2024-07-19 04:00:00,2.08,2.01,Profit Reached,4,2024-07-19 16:36:14
CHZ/USDT,0.0718,2024-07-19 04:07:11,0.07,2024-07-19 16:37:37,0.0721,2024-07-19 04:00:00,2.65,2.22,Profit Reached,4,2024-07-19 16:37:37
RVN/USDT,0.02005,2024-07-19 04:07:15,0.02,2024-07-19 16:16:31,0.02006,2024-07-19 04:00:00,2.09,2.04,Profit Reached,4,2024-07-19 16:16:31
