coin,buy_price,buy_date,sell_price,sell_date,last_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
POLS/USDT,0.3459,2024-07-17 09:59:05,0.36,2024-07-17 13:32:00,0.3523,2024-07-17 08:00:00,4.08,2.19,Profit Reached,2,2024-07-17 13:32:00
MDX/USDT,0.05291,2024-07-17 09:59:06,0.05,2024-07-17 13:24:24,0.05336,2024-07-17 08:00:00,2.87,2.01,Profit Reached,2,2024-07-17 13:24:24
ENS/USDT,26.98,2024-07-17 10:00:19,26.17,2024-07-18 08:00:02,27.16,2024-07-17 08:00:00,-3.0,-3.65,Candles Exceeded,7,2024-07-18 08:00:02
XNO/USDT,0.984,2024-07-17 11:07:16,0.96,2024-07-18 08:00:02,0.985,2024-07-17 08:00:00,-2.24,-2.34,Candles Exceeded,7,2024-07-18 08:00:02
POND/USDT,0.01865,2024-07-17 11:23:53,0.02,2024-07-17 16:03:10,0.01871,2024-07-17 08:00:00,3.16,2.83,Profit Reached,3,2024-07-17 16:03:10
AVA/USDT,0.6576,2024-07-17 12:01:07,0.66,2024-07-18 12:00:22,0.6589,2024-07-17 12:00:00,-0.21,-0.41,Candles Exceeded,7,2024-07-18 12:00:22
GTC/USDT,0.895,2024-07-17 12:02:07,0.89,2024-07-18 12:00:22,0.898,2024-07-17 12:00:00,-0.45,-0.78,Candles Exceeded,7,2024-07-18 12:00:22
ILV/USDT,66.99,2024-07-17 12:02:48,68.37,2024-07-17 14:59:04,67.0,2024-07-17 12:00:00,2.06,2.04,Profit Reached,1,2024-07-17 14:59:04
ARKM/USDT,1.692,2024-07-17 12:05:09,1.73,2024-07-17 13:15:14,1.697,2024-07-17 12:00:00,2.36,2.06,Profit Reached,1,2024-07-17 13:15:14
STRK/USDT,0.618,2024-07-17 12:05:55,0.6,2024-07-18 12:00:22,0.622,2024-07-17 12:00:00,-3.24,-3.86,Candles Exceeded,7,2024-07-18 12:00:22
MDT/USDT,0.04793,2024-07-17 13:23:45,0.05,2024-07-18 12:00:22,0.04807,2024-07-17 12:00:00,-2.52,-2.81,Candles Exceeded,7,2024-07-18 12:00:22
ARKM/USDT,1.696,2024-07-17 13:29:01,1.73,2024-07-17 14:01:48,1.697,2024-07-17 12:00:00,2.06,2.0,Profit Reached,1,2024-07-17 14:01:48
CREAM/USDT,45.64,2024-07-17 15:58:45,45.47,2024-07-18 12:00:22,45.72,2024-07-17 12:00:00,-0.37,-0.55,Candles Exceeded,7,2024-07-18 12:00:22
CRV/USDT,0.2877,2024-07-17 16:03:05,0.27,2024-07-18 16:00:01,0.2883,2024-07-17 16:00:00,-4.66,-4.86,Candles Exceeded,7,2024-07-18 16:00:01
ILV/USDT,67.58,2024-07-17 16:05:39,69.04,2024-07-18 00:33:10,67.63,2024-07-17 16:00:00,2.16,2.08,Profit Reached,3,2024-07-18 00:33:10
API3/USDT,2.063,2024-07-17 16:06:39,1.94,2024-07-18 16:00:01,2.075,2024-07-17 16:00:00,-6.11,-6.65,Candles Exceeded,7,2024-07-18 16:00:01
APT/USDT,7.18,2024-07-17 16:07:10,6.9,2024-07-18 16:00:01,7.21,2024-07-17 16:00:00,-3.9,-4.3,Candles Exceeded,7,2024-07-18 16:00:01
ARKM/USDT,1.689,2024-07-17 16:08:00,1.6,2024-07-18 16:00:01,1.695,2024-07-17 16:00:00,-5.39,-5.72,Candles Exceeded,7,2024-07-18 16:00:01
BONK/USDT,2.727e-05,2024-07-17 16:08:28,0.0,2024-07-18 13:11:52,2.749e-05,2024-07-17 16:00:00,2.86,2.04,Profit Reached,6,2024-07-18 13:11:52
DOCK/USDT,0.00904,2024-07-17 16:11:14,0.01,2024-07-17 16:47:04,0.00922,2024-07-17 16:00:00,4.31,2.28,Profit Reached,1,2024-07-17 16:47:04
KLAY/USDT,0.1577,2024-07-17 16:14:24,0.15,2024-07-18 16:00:01,0.1585,2024-07-17 16:00:00,-1.84,-2.33,Candles Exceeded,7,2024-07-18 16:00:01
RAY/USDT,1.9398,2024-07-17 16:14:38,1.91,2024-07-18 16:00:01,1.953,2024-07-17 16:00:00,-1.5,-2.17,Candles Exceeded,7,2024-07-18 16:00:01
POLS/USDT,0.3499,2024-07-17 20:04:18,0.33,2024-07-18 20:00:25,0.35,2024-07-17 20:00:00,-5.77,-5.8,Candles Exceeded,7,2024-07-18 20:00:25
PORTO/USDT,1.596,2024-07-17 20:05:28,1.52,2024-07-18 20:00:25,1.599,2024-07-17 20:00:00,-4.51,-4.69,Candles Exceeded,7,2024-07-18 20:00:25
LOKA/USDT,0.1873,2024-07-17 20:05:58,0.19,2024-07-18 00:38:34,0.1876,2024-07-17 20:00:00,2.24,2.08,Profit Reached,2,2024-07-18 00:38:34
WOO/USDT,0.2076,2024-07-17 20:15:12,0.2,2024-07-18 20:00:25,0.2077,2024-07-17 20:00:00,-4.29,-4.33,Candles Exceeded,7,2024-07-18 20:00:25
FLOKI/USDT,0.00018358,2024-07-17 20:16:20,0.0,2024-07-18 20:00:25,0.00018384,2024-07-17 20:00:00,-7.5,-7.63,Candles Exceeded,7,2024-07-18 20:00:25
LIT/USDT,0.78,2024-07-17 20:49:16,0.75,2024-07-18 20:00:25,0.781,2024-07-17 20:00:00,-3.33,-3.46,Candles Exceeded,7,2024-07-18 20:00:25
PIVX/USDT,0.2653,2024-07-17 21:02:10,0.25,2024-07-18 20:00:25,0.2669,2024-07-17 20:00:00,-4.94,-5.51,Candles Exceeded,7,2024-07-18 20:00:25
MAV/USDT,0.2278,2024-07-17 21:10:55,0.22,2024-07-18 20:00:25,0.2279,2024-07-17 20:00:00,-5.09,-5.13,Candles Exceeded,7,2024-07-18 20:00:25
AUDIO/USDT,0.1432,2024-07-18 00:08:41,0.14,2024-07-19 00:00:17,0.1433,2024-07-18 00:00:00,-1.54,-1.61,Candles Exceeded,7,2024-07-19 00:00:17
IDEX/USDT,0.04327,2024-07-18 00:19:25,0.04,2024-07-19 00:00:17,0.04355,2024-07-18 00:00:00,-1.29,-1.93,Candles Exceeded,7,2024-07-19 00:00:17
SYN/USDT,0.466,2024-07-18 00:30:10,0.44,2024-07-19 00:00:17,0.4664,2024-07-18 00:00:00,-4.61,-4.7,Candles Exceeded,7,2024-07-19 00:00:17
BAND/USDT,1.242,2024-07-18 04:02:53,1.24,2024-07-19 04:00:21,1.243,2024-07-18 04:00:00,-0.4,-0.48,Candles Exceeded,7,2024-07-19 04:00:21
