coin,buy_price,buy_date,sell_price,sell_date,previous_close_price,opening_candle_date,profit_percentage,percentage_change,close_reason,candles_passed,last_monitor_date
HFT/USDT,0.1989,2024-07-17 11:33:24,0.2,2024-07-17 13:39:36,0.2011,2024-07-17 00:00:00,1.16,0.05,Profit Reached,1,2024-07-17 13:39:36
CVC/USDT,0.1081,2024-07-17 11:37:33,0.11,2024-07-17 13:59:05,0.1094,2024-07-17 00:00:00,1.3,0.09,Profit Reached,1,2024-07-17 13:59:05
JASMY/USDT,0.02986,2024-07-17 11:41:55,0.03,2024-07-17 12:16:14,0.03018,2024-07-17 00:00:00,1.14,0.07,Profit Reached,1,2024-07-17 12:16:14
BURGER/USDT,0.4261,2024-07-17 13:24:59,0.43,2024-07-17 13:53:37,0.4315,2024-07-17 00:00:00,1.55,0.28,Profit Reached,1,2024-07-17 13:53:37
JASMY/USDT,0.02976,2024-07-17 13:26:27,0.03,2024-07-17 13:50:54,0.03018,2024-07-17 00:00:00,1.44,0.03,Profit Reached,1,2024-07-17 13:50:54
CTXC/USDT,0.1638,2024-07-17 13:31:53,0.17,2024-07-17 13:58:24,0.166,2024-07-17 00:00:00,1.65,0.3,Profit Reached,1,2024-07-17 13:58:24
JASMY/USDT,0.02979,2024-07-17 15:49:14,0.03,2024-07-18 00:00:06,0.03018,2024-07-17 00:00:00,-2.69,-3.94,Candles Exceeded,2,2024-07-18 00:00:06
HFT/USDT,0.1986,2024-07-17 15:50:18,0.2,2024-07-17 22:00:30,0.2011,2024-07-17 00:00:00,1.31,0.05,Profit Reached,1,2024-07-17 22:00:30
CVC/USDT,0.1081,2024-07-17 15:54:25,0.11,2024-07-17 20:36:29,0.1094,2024-07-17 00:00:00,1.3,0.09,Profit Reached,1,2024-07-17 20:36:29
CTXC/USDT,0.1637,2024-07-17 15:54:42,0.16,2024-07-18 00:00:06,0.166,2024-07-17 00:00:00,-0.61,-1.99,Candles Exceeded,2,2024-07-18 00:00:06
BURGER/USDT,0.4265,2024-07-17 15:57:17,0.43,2024-07-18 00:00:06,0.4315,2024-07-17 00:00:00,0.12,-1.04,Candles Exceeded,2,2024-07-18 00:00:06
ACE/USDT,3.078,2024-07-17 16:10:35,3.11,2024-07-17 18:03:36,3.111,2024-07-17 00:00:00,1.1,0.03,Profit Reached,1,2024-07-17 18:03:36
TKO/USDT,0.3405,2024-07-17 16:16:09,0.34,2024-07-17 19:22:46,0.3443,2024-07-17 00:00:00,1.32,0.2,Profit Reached,1,2024-07-17 19:22:46
GTC/USDT,0.878,2024-07-17 16:16:31,0.87,2024-07-18 00:00:06,0.889,2024-07-17 00:00:00,-0.8,-2.02,Candles Exceeded,2,2024-07-18 00:00:06
CHZ/USDT,0.0725,2024-07-17 16:22:51,0.07,2024-07-17 19:26:02,0.0733,2024-07-17 00:00:00,1.24,0.14,Profit Reached,1,2024-07-17 19:26:02
QUICK/USDT,0.04076,2024-07-17 16:26:12,0.04,2024-07-17 18:31:45,0.0412,2024-07-17 00:00:00,1.1,0.02,Profit Reached,1,2024-07-17 18:31:45
COS/USDT,0.008293,2024-07-17 16:32:05,0.01,2024-07-17 19:33:25,0.00838,2024-07-17 00:00:00,1.09,0.04,Profit Reached,1,2024-07-17 19:33:25
CHZ/USDT,0.0724,2024-07-17 21:12:55,0.07,2024-07-18 00:00:06,0.0733,2024-07-17 00:00:00,-0.28,-1.5,Candles Exceeded,2,2024-07-18 00:00:06
CVC/USDT,0.1083,2024-07-17 22:19:10,0.11,2024-07-18 00:00:06,0.1094,2024-07-17 00:00:00,-1.11,-2.1,Candles Exceeded,2,2024-07-18 00:00:06
TKO/USDT,0.3407,2024-07-17 23:47:25,0.34,2024-07-18 00:00:06,0.3443,2024-07-17 00:00:00,-0.12,-1.16,Candles Exceeded,2,2024-07-18 00:00:06
QUICK/USDT,0.04076,2024-07-17 23:57:33,0.04,2024-07-18 00:00:06,0.0412,2024-07-17 00:00:00,-0.22,-1.29,Candles Exceeded,2,2024-07-18 00:00:06
DENT/USDT,0.000951,2024-07-18 07:53:59,0.0,2024-07-18 08:11:36,0.000964,2024-07-18 00:00:00,1.47,0.1,Profit Reached,1,2024-07-18 08:11:36
SC/USDT,0.004981,2024-07-18 08:14:01,0.0,2024-07-19 00:00:17,0.005034,2024-07-18 00:00:00,-1.14,-2.19,Candles Exceeded,2,2024-07-19 00:00:17
DENT/USDT,0.000949,2024-07-18 08:32:06,0.0,2024-07-19 00:00:17,0.000964,2024-07-18 00:00:00,0.21,-1.35,Candles Exceeded,2,2024-07-19 00:00:17
POLYX/USDT,0.2687,2024-07-18 08:37:32,0.27,2024-07-18 09:13:15,0.2717,2024-07-18 00:00:00,1.15,0.04,Profit Reached,1,2024-07-18 09:13:15
MANA/USDT,0.3512,2024-07-18 09:11:11,0.34,2024-07-19 00:00:17,0.3576,2024-07-18 00:00:00,-3.59,-5.31,Candles Exceeded,2,2024-07-19 00:00:17
LOKA/USDT,0.1878,2024-07-18 10:02:27,0.19,2024-07-18 12:14:03,0.1899,2024-07-18 00:00:00,1.17,0.05,Profit Reached,1,2024-07-18 12:14:03
JASMY/USDT,0.02855,2024-07-18 10:39:51,0.03,2024-07-18 12:08:38,0.02896,2024-07-18 00:00:00,1.47,0.03,Profit Reached,1,2024-07-18 12:08:38
VET/USDT,0.03075,2024-07-18 14:03:17,0.03,2024-07-18 14:13:56,0.03111,2024-07-18 00:00:00,1.24,0.06,Profit Reached,1,2024-07-18 14:13:56
CHZ/USDT,0.0714,2024-07-18 14:22:57,0.07,2024-07-19 00:00:17,0.0722,2024-07-18 00:00:00,-2.24,-3.32,Candles Exceeded,2,2024-07-19 00:00:17
MKR/USDT,2823.0,2024-07-18 14:23:53,2815.0,2024-07-19 00:00:17,2857.0,2024-07-18 00:00:00,-0.28,-1.47,Candles Exceeded,2,2024-07-19 00:00:17
JASMY/USDT,0.02857,2024-07-18 14:27:12,0.03,2024-07-19 00:00:17,0.02896,2024-07-18 00:00:00,-2.38,-3.69,Candles Exceeded,2,2024-07-19 00:00:17
VIDT/USDT,0.02262,2024-07-18 14:36:01,0.02,2024-07-19 00:00:17,0.02286,2024-07-18 00:00:00,-2.48,-3.5,Candles Exceeded,2,2024-07-19 00:00:17
LOKA/USDT,0.1878,2024-07-18 14:37:04,0.18,2024-07-19 00:00:17,0.1899,2024-07-18 00:00:00,-2.02,-3.11,Candles Exceeded,2,2024-07-19 00:00:17
AST/USDT,0.0967,2024-07-18 14:38:21,0.09,2024-07-19 00:00:17,0.0978,2024-07-18 00:00:00,-3.52,-4.6,Candles Exceeded,2,2024-07-19 00:00:17
VET/USDT,0.03066,2024-07-18 14:41:06,0.03,2024-07-19 00:00:17,0.03111,2024-07-18 00:00:00,-1.08,-2.51,Candles Exceeded,2,2024-07-19 00:00:17
DOGE/USDT,0.12016,2024-07-18 14:41:35,0.12,2024-07-19 00:00:17,0.12178,2024-07-18 00:00:00,-0.62,-1.94,Candles Exceeded,2,2024-07-19 00:00:17
FIO/USDT,0.02628,2024-07-18 14:43:12,0.03,2024-07-19 00:00:17,0.02656,2024-07-18 00:00:00,-2.59,-3.61,Candles Exceeded,2,2024-07-19 00:00:17
IDEX/USDT,0.04307,2024-07-18 14:45:24,0.04,2024-07-19 00:00:17,0.04355,2024-07-18 00:00:00,-0.84,-1.93,Candles Exceeded,2,2024-07-19 00:00:17
HFT/USDT,0.1979,2024-07-18 14:47:05,0.2,2024-07-19 00:00:17,0.2,2024-07-18 00:00:00,-1.41,-2.45,Candles Exceeded,2,2024-07-19 00:00:17
ADA/USDT,0.4311,2024-07-18 14:50:14,0.42,2024-07-19 00:00:17,0.4359,2024-07-18 00:00:00,-1.76,-2.84,Candles Exceeded,2,2024-07-19 00:00:17
TFUEL/USDT,0.07067,2024-07-18 14:50:50,0.07,2024-07-19 00:00:17,0.07165,2024-07-18 00:00:00,-0.75,-2.11,Candles Exceeded,2,2024-07-19 00:00:17
MDT/USDT,0.04612,2024-07-18 14:51:50,0.05,2024-07-19 00:00:17,0.0467,2024-07-18 00:00:00,-2.23,-3.45,Candles Exceeded,2,2024-07-19 00:00:17
ALPACA/USDT,0.1319,2024-07-18 14:54:28,0.13,2024-07-19 00:00:17,0.1336,2024-07-18 00:00:00,-2.81,-4.04,Candles Exceeded,2,2024-07-19 00:00:17
ALPINE/USDT,1.405,2024-07-18 14:55:52,1.37,2024-07-19 00:00:17,1.421,2024-07-18 00:00:00,-2.49,-3.59,Candles Exceeded,2,2024-07-19 00:00:17
STX/USDT,1.847,2024-07-18 15:00:30,1.84,2024-07-19 00:00:17,1.876,2024-07-18 00:00:00,-0.16,-1.71,Candles Exceeded,2,2024-07-19 00:00:17
SAND/USDT,0.3291,2024-07-18 15:01:28,0.32,2024-07-19 00:00:17,0.3335,2024-07-18 00:00:00,-2.34,-3.63,Candles Exceeded,2,2024-07-19 00:00:17
UTK/USDT,0.05409,2024-07-18 15:01:57,0.05,2024-07-19 00:00:17,0.05488,2024-07-18 00:00:00,-1.85,-3.26,Candles Exceeded,2,2024-07-19 00:00:17
BURGER/USDT,0.4219,2024-07-18 15:03:06,0.41,2024-07-19 00:00:17,0.427,2024-07-18 00:00:00,-1.94,-3.11,Candles Exceeded,2,2024-07-19 00:00:17
XNO/USDT,0.949,2024-07-18 15:04:58,0.95,2024-07-19 00:00:17,0.961,2024-07-18 00:00:00,0.42,-0.83,Candles Exceeded,2,2024-07-19 00:00:17
POLYX/USDT,0.268,2024-07-18 15:05:24,0.27,2024-07-19 00:00:17,0.2717,2024-07-18 00:00:00,-0.3,-1.66,Candles Exceeded,2,2024-07-19 00:00:17
AAVE/USDT,96.67,2024-07-18 15:11:02,98.12,2024-07-18 19:01:02,98.08,2024-07-18 00:00:00,1.5,0.04,Profit Reached,1,2024-07-18 19:01:02
LAZIO/USDT,1.489,2024-07-18 15:13:10,1.45,2024-07-19 00:00:17,1.508,2024-07-18 00:00:00,-2.55,-3.78,Candles Exceeded,2,2024-07-19 00:00:17
CHESS/USDT,0.1323,2024-07-18 15:13:11,0.13,2024-07-19 00:00:17,0.1338,2024-07-18 00:00:00,0.83,-0.3,Candles Exceeded,2,2024-07-19 00:00:17
QTUM/USDT,2.62,2024-07-18 15:17:31,2.65,2024-07-18 15:42:56,2.65,2024-07-18 00:00:00,1.22,0.08,Profit Reached,1,2024-07-18 15:42:56
CAKE/USDT,1.974,2024-07-18 15:20:39,2.0,2024-07-18 22:33:31,1.997,2024-07-18 00:00:00,1.22,0.05,Profit Reached,1,2024-07-18 22:33:31
ZIL/USDT,0.01719,2024-07-18 15:26:47,0.02,2024-07-18 23:59:54,0.01739,2024-07-18 00:00:00,0.17,-0.98,Candles Exceeded,2,2024-07-18 23:59:54
THETA/USDT,1.46,2024-07-18 15:26:58,1.48,2024-07-18 22:42:33,1.481,2024-07-18 00:00:00,1.51,0.07,Profit Reached,1,2024-07-18 22:42:33
OGN/USDT,0.0967,2024-07-18 15:27:42,0.1,2024-07-18 23:59:54,0.0979,2024-07-18 00:00:00,-0.72,-1.94,Candles Exceeded,2,2024-07-18 23:59:54
FUN/USDT,0.003829,2024-07-18 15:36:08,0.0,2024-07-18 23:59:54,0.003877,2024-07-18 00:00:00,0.26,-0.98,Candles Exceeded,2,2024-07-18 23:59:54
