coin,opening_candle_date,probability,previous_close_price,close_price,close_direction,last_monitor_date,potential_profit_%
TRX/USDT,2024-07-17 00:00:00,0.74,0.13402,0.13358,0,2024-07-18 00:01:50,-0.33
COS/USDT,2024-07-17 00:00:00,0.75,0.00838,0.008518,1,2024-07-18 00:01:50,1.65
DENT/USDT,2024-07-17 00:00:00,0.75,0.000974,0.000964,0,2024-07-18 00:01:50,-1.03
CVC/USDT,2024-07-17 00:00:00,0.78,0.1094,0.1071,0,2024-07-18 00:01:50,-2.1
CHZ/USDT,2024-07-17 00:00:00,0.76,0.0733,0.0722,0,2024-07-18 00:01:50,-1.5
HBAR/USDT,2024-07-17 00:00:00,0.73,0.0766,0.0753,0,2024-07-18 00:01:50,-1.7
CTXC/USDT,2024-07-17 00:00:00,0.83,0.166,0.1627,0,2024-07-18 00:01:50,-1.99
OGN/USDT,2024-07-17 00:00:00,0.74,0.0994,0.0979,0,2024-07-18 00:01:50,-1.51
SC/USDT,2024-07-17 00:00:00,0.72,0.005139,0.005034,0,2024-07-18 00:01:50,-2.04
ZEN/USDT,2024-07-17 00:00:00,0.72,11.73,11.65,0,2024-07-18 00:01:50,-0.68
DCR/USDT,2024-07-17 00:00:00,0.8,13.92,13.95,1,2024-07-18 00:01:50,0.22
YFI/USDT,2024-07-17 00:00:00,0.75,5988.0,6040.0,1,2024-07-18 00:01:50,0.87
SAND/USDT,2024-07-17 00:00:00,0.87,0.3358,0.3335,0,2024-07-18 00:01:50,-0.68
EGLD/USDT,2024-07-17 00:00:00,0.73,36.48,36.87,1,2024-07-18 00:01:50,1.07
ROSE/USDT,2024-07-17 00:00:00,0.71,0.09204,0.09034,0,2024-07-18 00:01:50,-1.85
CAKE/USDT,2024-07-17 00:00:00,0.71,2.043,1.997,0,2024-07-18 00:01:50,-2.25
SUPER/USDT,2024-07-17 00:00:00,0.77,0.649,0.6565,1,2024-07-18 00:01:50,1.16
TKO/USDT,2024-07-17 00:00:00,0.82,0.3443,0.3404,0,2024-07-18 00:01:50,-1.13
TLM/USDT,2024-07-17 00:00:00,0.79,0.01211,0.01384,1,2024-07-18 00:01:50,14.29
BURGER/USDT,2024-07-17 00:00:00,0.78,0.4315,0.427,0,2024-07-18 00:01:50,-1.04
MASK/USDT,2024-07-17 00:00:00,0.82,2.414,2.411,1,2024-07-18 00:01:50,-0.12
