timestamp,open,high,low,close,volume
2019-08-03,2.9896,3.0911,2.9411,3.0122,53431.63
2019-08-04,3.0124,3.1777,2.9666,3.1587,46678.31
2019-08-05,3.1592,3.25,3.0877,3.1703,57132.4
2019-08-06,3.1706,3.5059,3.1211,3.4301,58754.24
2019-08-07,3.4205,3.7299,3.4016,3.6307,45284.12
2019-08-08,3.6319,4.035,3.462,3.8886,62546.55
2019-08-09,3.897,4.0116,3.801,3.8888,39210.31
2019-08-10,3.8898,4.128,3.2667,3.4681,64349.8
2019-08-11,3.4666,3.4732,3.027,3.17,56278.41
2019-08-12,3.1694,3.2367,2.9977,3.0565,32189.89
2019-08-13,3.0553,3.1977,3.0054,3.1275,39486.88
2019-08-14,3.1267,3.1443,2.8392,2.8581,37037.05
2019-08-15,2.8598,3.1194,2.6109,3.108,39573.49
2019-08-16,3.1074,3.1079,2.9284,2.992,32275.83
2019-08-17,2.9913,3.1865,2.9601,3.0907,43404.05
2019-08-18,3.0902,3.1973,3.0117,3.0792,32727.82
2019-08-19,3.081,3.1151,3.0,3.0266,33097.88
2019-08-20,3.0262,3.0795,2.968,3.0298,32545.14
2019-08-21,3.0296,3.0397,2.8168,2.8493,28434.04
2019-08-22,2.8494,2.97,2.7222,2.91,29056.92
2019-08-23,2.9074,2.9953,2.8921,2.9793,27893.4
2019-08-24,2.979,3.05,2.851,2.968,30838.94
2019-08-25,2.9691,3.03,2.8921,2.951,32770.23
2019-08-26,2.9501,3.0045,2.8619,2.9625,25722.89
2019-08-27,2.9622,2.9639,2.8325,2.8522,34717.15
2019-08-28,2.8566,2.8566,2.5854,2.5981,44369.31
2019-08-29,2.5983,2.5986,2.3448,2.4682,36468.72
2019-08-30,2.4679,2.5297,2.3965,2.4426,32803.66
2019-08-31,2.443,2.54,2.3181,2.4608,25820.0
2019-09-01,2.461,2.5508,2.4255,2.5061,34837.08
2019-09-02,2.5076,2.508,2.5076,2.508,14.27
2019-09-03,2.6965,2.84,2.6482,2.8103,15924.16
2019-09-04,2.8142,2.867,2.7645,2.8148,12592.16
2019-09-05,2.8142,2.82,2.6794,2.7757,17534.92
2019-09-06,2.7746,2.7798,2.65,2.671,13404.44
2019-09-07,2.6788,2.6959,2.6302,2.6903,10269.33
2019-09-08,2.691,2.7086,2.65,2.6644,5108.96
2019-09-09,2.6652,2.7285,2.5713,2.6798,18002.72
2019-09-10,2.6804,2.9071,2.6469,2.7514,17441.9
2019-09-11,2.7514,2.85,2.6819,2.8234,10920.91
2019-09-12,2.818,2.8297,2.7443,2.7597,9262.41
2019-09-13,2.7591,2.794,2.75,2.7692,4418.01
2019-09-14,2.7736,2.793,2.7443,2.7881,8858.16
2019-09-15,2.7881,2.7929,2.756,2.7621,6389.52
2019-09-16,2.7612,2.7686,2.68,2.7074,16928.14
2019-09-17,2.7074,2.7118,2.6504,2.68,15428.36
2019-09-18,2.68,2.85,2.68,2.8368,19487.79
2019-09-19,2.8316,2.84,2.69,2.7798,14636.67
2019-09-20,2.78,2.79,2.723,2.7665,7941.54
2019-09-21,2.7658,2.8169,2.7579,2.7884,13916.16
2019-09-22,2.7896,2.7902,2.7191,2.7301,12990.69
2019-09-23,2.7301,2.7334,2.57,2.5701,17234.39
2019-09-24,2.5723,2.6555,2.0608,2.1607,26320.8
2019-09-25,2.1577,2.2581,2.0553,2.1533,22878.71
2019-09-26,2.1559,2.2329,2.0137,2.1087,24573.24
2019-09-27,2.1082,2.1646,2.0731,2.1549,17070.32
2019-09-28,2.1551,2.18,2.127,2.1552,12050.45
2019-09-29,2.1543,2.16,2.0542,2.0942,15780.83
2019-09-30,2.094,2.1191,1.9589,2.1045,17824.46
2019-10-01,2.1058,2.2454,2.0874,2.1378,11910.21
2019-10-02,2.1378,2.1398,2.0922,2.1138,13330.14
2019-10-03,2.1131,2.1805,2.1038,2.1375,14699.16
2019-10-04,2.1376,2.1448,2.0963,2.1177,14480.38
2019-10-05,2.1177,2.13,2.0749,2.1111,14312.01
2019-10-06,2.1111,2.124,1.9871,2.0005,13684.25
2019-10-07,2.0037,2.1196,1.9813,2.0915,9328.82
2019-10-08,2.0953,2.1255,2.06,2.0844,16272.91
2019-10-09,2.0846,2.312,2.0816,2.28,20680.65
2019-10-10,2.2831,2.3666,2.2643,2.2922,24426.33
2019-10-11,2.2934,2.3118,2.1798,2.2193,18717.0
2019-10-12,2.2154,2.3058,2.18,2.2704,17209.23
2019-10-13,2.2718,2.3226,2.26,2.2807,12250.3
2019-10-14,2.2778,2.4091,2.2698,2.4091,20553.55
2019-10-15,2.4092,2.4306,2.3358,2.3925,33709.69
2019-10-16,2.3926,2.4128,2.3267,2.3879,58966.59
2019-10-17,2.387,2.391,2.34,2.3546,55543.51
2019-10-18,2.3547,2.402,2.29,2.305,47073.63
2019-10-19,2.3055,2.3439,2.29,2.3199,38189.86
2019-10-20,2.3214,2.3996,2.298,2.3993,32421.25
2019-10-21,2.397,2.397,2.397,2.397,108.26
2019-10-22,2.5352,2.5384,2.4196,2.4292,54464.71
2019-10-23,2.4296,2.59,2.34,2.3858,57033.46
2019-10-24,2.3896,2.4135,2.3264,2.3327,63558.64
2019-10-25,2.3336,2.65,2.3336,2.6444,63304.6
2019-10-26,2.6495,2.7942,2.6289,2.6971,45984.0
2019-10-27,2.6971,3.1214,2.6491,2.9872,43446.37
2019-10-28,2.9879,3.0953,2.8783,2.9624,50150.64
2019-10-29,2.9612,3.0522,2.9506,2.9988,77632.89
2019-10-30,2.9988,3.0047,2.8824,2.9017,85370.97
2019-10-31,2.9003,2.9813,2.7791,2.9523,88468.88
2019-11-01,2.9529,3.15,2.8939,3.1212,111039.5
2019-11-02,3.1219,3.1329,3.1219,3.1322,99.44
2019-11-03,3.2592,3.2669,3.0772,3.1301,134902.0
2019-11-04,3.1304,3.2466,3.1273,3.2361,130284.8
2019-11-05,3.2331,3.3166,3.1591,3.254,128884.99
