timestamp,open,high,low,close,volume
2021-05-12,1e-05,1.977e-05,7.06e-06,7.06e-06,119085948932.0
2021-05-13,7.27e-06,1e-05,4e-06,8.27e-06,105998550993.0
2021-05-14,8.31e-06,1.446e-05,7.7e-06,1.06e-05,123556429371.0
2021-05-15,1.059e-05,1.065e-05,6.67e-06,7.53e-06,76865089118.0
2021-05-16,7.6e-06,8.39e-06,5.15e-06,7.08e-06,74463293402.0
2021-05-17,7.07e-06,7.1e-06,5.16e-06,5.89e-06,89655543335.0
2021-05-18,5.89e-06,6.9e-06,5.58e-06,5.78e-06,96686870921.0
2021-05-19,5.78e-06,5.91e-06,2.31e-06,3e-06,136725140083.0
2021-05-20,3e-06,4.27e-06,2.71e-06,3.5e-06,112768633753.0
2021-05-21,3.5e-06,3.8e-06,2.2e-06,2.79e-06,120586807565.0
2021-05-22,2.8e-06,2.87e-06,2.13e-06,2.58e-06,116381135229.0
2021-05-23,2.58e-06,3.07e-06,1.81e-06,2.26e-06,129901697914.0
2021-05-24,2.26e-06,3.08e-06,2.17e-06,2.93e-06,136145384754.0
2021-05-25,2.92e-06,3.2e-06,2.28e-06,2.6e-06,137143756554.0
2021-05-26,2.61e-06,2.99e-06,2.49e-06,2.77e-06,123470133781.0
2021-05-27,2.77e-06,2.77e-06,2.43e-06,2.46e-06,94588310816.0
2021-05-28,2.46e-06,2.5e-06,2e-06,2.09e-06,120514582704.0
2021-05-29,2.09e-06,2.24e-06,1.81e-06,1.99e-06,126073910128.0
2021-05-30,1.99e-06,2.13e-06,1.82e-06,2.04e-06,123455870258.0
2021-05-31,2.04e-06,2.47e-06,1.91e-06,2.29e-06,143888059768.0
2021-06-01,2.29e-06,2.38e-06,2.02e-06,2.26e-06,135834561773.0
2021-06-02,2.26e-06,2.83e-06,2.1e-06,2.6e-06,166907818474.0
2021-06-03,2.6e-06,2.96e-06,2.4e-06,2.67e-06,158781547902.0
2021-06-04,2.67e-06,2.71e-06,2.2e-06,2.37e-06,153182143479.0
2021-06-05,2.38e-06,2.53e-06,1.85e-06,1.86e-06,140681049983.0
2021-06-06,1.86e-06,1.99e-06,1.65e-06,1.78e-06,139472224353.0
2021-06-07,1.79e-06,1.89e-06,1.3e-06,1.38e-06,134082341097.0
2021-06-08,1.38e-06,1.8e-06,1.14e-06,1.63e-06,169745510519.0
2021-06-09,1.63e-06,1.72e-06,1.39e-06,1.64e-06,155755879915.0
2021-06-10,1.62e-06,1.71e-06,1.41e-06,1.48e-06,144270427801.0
2021-06-11,1.48e-06,1.52e-06,1.32e-06,1.35e-06,133298600787.0
2021-06-12,1.35e-06,1.4e-06,1.19e-06,1.32e-06,122541528886.0
2021-06-13,1.3e-06,1.49e-06,1.24e-06,1.45e-06,128695567063.0
2021-06-14,1.44e-06,1.5e-06,1.35e-06,1.41e-06,121959314473.0
2021-06-15,1.41e-06,1.68e-06,1.35e-06,1.57e-06,131788747605.0
2021-06-16,1.56e-06,1.62e-06,1.37e-06,1.46e-06,142306815465.0
2021-06-17,1.46e-06,1.5e-06,1.36e-06,1.38e-06,137527245080.0
2021-06-18,1.38e-06,1.41e-06,1.22e-06,1.26e-06,143559768070.0
2021-06-19,1.26e-06,1.37e-06,1.23e-06,1.29e-06,127515734864.0
2021-06-20,1.27e-06,1.31e-06,1.17e-06,1.26e-06,131402142087.0
2021-06-21,1.26e-06,1.28e-06,8.8e-07,8.8e-07,147456667170.0
2021-06-22,8.8e-07,9.3e-07,7.1e-07,8.1e-07,140885722870.0
2021-06-23,8e-07,9.8e-07,7.7e-07,9.4e-07,139431093972.0
2021-06-24,9.4e-07,1.03e-06,8.6e-07,1e-06,113038583552.0
2021-06-25,1e-06,1.04e-06,8.54e-07,8.62e-07,162752103849.0
2021-06-26,8.63e-07,9.33e-07,8.51e-07,9.07e-07,213947764247.0
2021-06-27,9.05e-07,9.58e-07,8.95e-07,9.49e-07,124984592369.0
2021-06-28,9.48e-07,1.08e-06,8.9e-07,9.27e-07,132017084051.0
2021-06-29,9.27e-07,1.182e-06,9.22e-07,1.121e-06,183789779240.0
2021-06-30,1.121e-06,1.135e-06,9.47e-07,1.047e-06,198835230973.0
2021-07-01,1.048e-06,1.049e-06,9.24e-07,9.3e-07,369802661879.0
2021-07-02,9.29e-07,9.42e-07,8.59e-07,9.22e-07,212789417284.0
2021-07-03,9.22e-07,1.005e-06,8.95e-07,9.54e-07,173965320312.0
2021-07-04,9.54e-07,1.006e-06,9.17e-07,9.26e-07,108834896105.0
2021-07-05,9.27e-07,9.38e-07,8.75e-07,8.87e-07,123133492446.0
2021-07-06,8.86e-07,9.88e-07,8.86e-07,9.3e-07,122134697097.0
2021-07-07,9.3e-07,9.41e-07,8.42e-07,8.51e-07,139373334806.0
2021-07-08,8.52e-07,8.56e-07,7.78e-07,8.02e-07,184694123934.0
2021-07-09,8.02e-07,8.32e-07,7.65e-07,8.23e-07,119897404588.0
2021-07-10,8.23e-07,8.3e-07,7.77e-07,7.91e-07,122452993016.0
2021-07-11,7.91e-07,8.05e-07,7.39e-07,7.87e-07,108922476178.0
2021-07-12,7.89e-07,7.97e-07,7.3e-07,7.45e-07,99723060923.0
2021-07-13,7.45e-07,7.7e-07,7.14e-07,7.21e-07,113888763559.0
2021-07-14,7.21e-07,7.41e-07,6.93e-07,7.22e-07,122007500466.0
2021-07-15,7.21e-07,7.44e-07,6.61e-07,6.74e-07,149380280062.0
2021-07-16,6.73e-07,7.08e-07,6.37e-07,6.49e-07,166421537623.0
2021-07-17,6.5e-07,6.59e-07,6.02e-07,6.41e-07,128737949824.0
2021-07-18,6.41e-07,6.75e-07,6.14e-07,6.36e-07,99059872395.0
2021-07-19,6.36e-07,6.47e-07,5.75e-07,5.93e-07,114660642514.0
2021-07-20,5.93e-07,6e-07,5.07e-07,5.37e-07,134357724693.0
2021-07-21,5.37e-07,6.16e-07,5.24e-07,5.92e-07,134121368656.0
2021-07-22,5.92e-07,6.23e-07,5.73e-07,6.07e-07,169716934786.0
2021-07-23,6.07e-07,6.39e-07,5.77e-07,6.19e-07,143802961296.0
2021-07-24,6.21e-07,6.9e-07,6.06e-07,6.76e-07,142497771170.0
2021-07-25,6.76e-07,8.97e-07,5.96e-07,6.39e-07,157364114604.0
2021-07-26,6.39e-07,7.68e-07,6.19e-07,6.7e-07,203950431070.0
2021-07-27,6.69e-07,7.12e-07,6.24e-07,6.81e-07,209047119262.0
2021-07-28,6.82e-07,7.09e-07,6.51e-07,6.74e-07,200562064740.0
2021-07-29,6.74e-07,6.76e-07,6.35e-07,6.46e-07,149987068318.0
2021-07-30,6.46e-07,6.79e-07,6.17e-07,6.46e-07,131574953783.0
2021-07-31,6.45e-07,7.72e-07,6.3e-07,7.39e-07,137347386835.0
2021-08-01,7.39e-07,2.399e-06,7.19e-07,1.83e-06,315764805711.0
2021-08-02,1.806e-06,1.84e-06,1.262e-06,1.43e-06,262351439486.0
2021-08-03,1.43e-06,1.449e-06,1.043e-06,1.131e-06,280585682896.0
2021-08-04,1.131e-06,1.488e-06,1.079e-06,1.43e-06,108639348661.0
2021-08-05,1.43e-06,1.487e-06,1.133e-06,1.302e-06,432073068614.0
2021-08-06,1.302e-06,1.397e-06,1.24e-06,1.273e-06,230381880248.0
2021-08-07,1.272e-06,1.496e-06,1.268e-06,1.49e-06,217928516858.0
2021-08-08,1.49e-06,1.672e-06,1.387e-06,1.467e-06,221307178275.0
2021-08-09,1.462e-06,1.548e-06,1.37e-06,1.506e-06,150363441336.0
2021-08-10,1.506e-06,1.517e-06,1.304e-06,1.373e-06,174976761184.0
2021-08-11,1.373e-06,1.425e-06,1.308e-06,1.342e-06,175870161626.0
2021-08-12,1.342e-06,1.39e-06,1.221e-06,1.257e-06,171649851785.0
2021-08-13,1.258e-06,1.372e-06,1.252e-06,1.35e-06,141696873001.0
2021-08-14,1.351e-06,1.386e-06,1.258e-06,1.294e-06,156869351742.0
2021-08-15,1.294e-06,1.469e-06,1.227e-06,1.463e-06,246394471977.0
2021-08-16,1.463e-06,1.483e-06,1.268e-06,1.3e-06,179382562817.0
2021-08-17,1.3e-06,1.322e-06,1.162e-06,1.17e-06,185150513803.0
2021-08-18,1.17e-06,1.296e-06,1.152e-06,1.226e-06,179776832817.0
2021-08-19,1.226e-06,1.258e-06,1.167e-06,1.21e-06,154038821732.0
2021-08-20,1.211e-06,1.39e-06,1.204e-06,1.365e-06,140526489473.0
2021-08-21,1.365e-06,1.541e-06,1.32e-06,1.339e-06,143244805808.0
2021-08-22,1.337e-06,1.376e-06,1.272e-06,1.314e-06,138452405586.0
2021-08-23,1.313e-06,1.399e-06,1.293e-06,1.317e-06,165908366998.0
2021-08-24,1.317e-06,1.321e-06,1.17e-06,1.179e-06,148674944186.0
2021-08-25,1.179e-06,1.265e-06,1.111e-06,1.209e-06,169298414767.0
2021-08-26,1.209e-06,1.241e-06,1.056e-06,1.091e-06,156267290466.0
2021-08-27,1.09e-06,1.177e-06,1.052e-06,1.16e-06,161672826080.0
