timestamp,open,high,low,close,volume
2022-07-03,1.49,1.49,1.49,1.49,0.0
2022-07-04,1.49,1.49,1.49,1.49,0.0
2022-07-05,1.49,1.49,1.49,1.49,0.0
2022-07-06,1.49,1.49,1.49,1.49,0.0
2022-07-07,1.49,1.49,1.49,1.49,0.0
2022-07-08,1.49,1.49,1.49,1.49,0.0
2022-07-09,1.49,1.49,1.49,1.49,0.0
2022-07-10,1.49,1.49,1.49,1.49,0.0
2022-07-11,1.49,1.49,1.49,1.49,0.0
2022-07-12,1.49,1.49,1.49,1.49,0.0
2022-07-13,1.49,1.49,1.49,1.49,0.0
2022-07-14,1.49,2.99,1.49,2.99,2.0
2022-07-15,2.99,2.99,2.99,2.99,0.0
2022-07-16,2.99,2.99,2.99,2.99,0.0
2022-07-17,2.99,2.99,2.99,2.99,0.0
2022-07-18,2.99,2.99,2.99,2.99,0.0
2022-07-19,2.99,2.99,2.99,2.99,0.0
2022-07-20,2.99,2.99,2.99,2.99,0.0
2022-07-21,2.99,2.99,1.11,1.11,12.4
2022-07-22,1.11,1.59,1.11,1.51,9.5
2022-07-23,1.51,1.67,1.51,1.67,3.0
2022-07-24,1.67,1.67,1.67,1.67,0.0
2022-07-25,1.67,1.67,1.67,1.67,0.0
2022-07-26,1.67,1.67,1.67,1.67,0.0
2022-07-27,1.67,1.67,1.46,1.46,6.0
2022-07-28,1.46,1.46,1.46,1.46,0.0
2022-07-29,1.46,1.64,1.46,1.64,3.5
2022-07-30,1.64,1.64,1.64,1.64,0.0
2022-07-31,1.64,1.64,1.34,1.34,8.9
2022-08-01,1.34,1.34,1.34,1.34,0.0
2022-08-02,1.34,1.34,1.34,1.34,0.0
2022-08-03,1.34,1.34,1.34,1.34,0.0
2022-08-04,1.34,1.34,1.34,1.34,0.0
2022-08-05,1.34,1.45,1.34,1.45,7.2
2022-08-06,1.45,1.45,1.45,1.45,0.0
2022-08-07,1.45,1.45,1.45,1.45,0.0
2022-08-08,1.45,1.45,1.45,1.45,0.0
2022-08-09,1.45,1.45,1.45,1.45,0.0
2022-08-10,1.45,1.45,1.45,1.45,0.0
2022-08-11,1.45,1.45,1.45,1.45,0.0
2022-08-12,1.45,1.45,1.45,1.45,0.0
2022-08-13,1.45,1.93,0.72,1.93,14.3
2022-08-14,1.93,1.93,1.93,1.93,0.0
2022-08-15,1.93,1.93,1.93,1.93,7.1
