timestamp,open,high,low,close,volume
2018-05-03,0.063599,0.0755,0.0603,0.069901,19842854.7684
2018-05-04,0.069,0.093,0.06798,0.088041,3789572.1912
2018-05-05,0.088041,0.088041,0.072235,0.078,2980057.8387
2018-05-06,0.078,0.0879,0.054,0.0866,19035173.0063
2018-05-07,0.0865,0.0887,0.074,0.083968,9932164.969
2018-05-09,0.076119,0.079636,0.071121,0.0741,1010870.4011
2018-05-14,0.070084,0.091329,0.062602,0.088852,564132.8065
2018-05-15,0.088849,0.093986,0.081648,0.081751,387899.3794
2018-05-16,0.084909,0.085398,0.076,0.084987,497519.5426
2018-05-17,0.084987,0.099759,0.084987,0.089193,472681.3992
2018-05-18,0.093779,0.11,0.085031,0.108944,524192.8329
2018-05-19,0.107319,0.107319,0.0922,0.0946,4365893.8146
2018-05-21,0.096032,0.097435,0.08518,0.0902,612599.7778
2018-05-22,0.0902,0.0938,0.07899,0.07899,5337257.0065
2018-05-24,0.08677,0.096359,0.08052,0.090175,414798.9656
2018-05-29,0.094123,0.107496,0.094,0.103601,186253.4197
2018-05-30,0.103601,0.124706,0.1,0.116106,291580.5695
2018-05-31,0.116395,0.131632,0.11604,0.1289,268165.4937
2018-06-01,0.1289,0.143571,0.11613,0.120542,377770.8336
2018-06-02,0.122862,0.137953,0.110619,0.137953,62580.6243
2018-06-03,0.119991,0.126772,0.117188,0.11986,104017.2892
2018-06-05,0.113,0.127912,0.111,0.124337,258722.8866
2018-06-06,0.123888,0.126566,0.116888,0.12,90164.5245
2018-06-09,0.115,0.1177,0.108807,0.1117,3726758.3652
2018-06-10,0.1123,0.1123,0.08,0.083086,1009568.1272
2018-06-11,0.083086,0.089999,0.071043,0.084753,938067.9772
2018-06-12,0.0869,0.098981,0.0837,0.088888,1249031.2985
2018-06-14,0.088549,0.090868,0.075532,0.082005,232020.564
2018-06-15,0.082201,0.085005,0.0743,0.0772,1217382.8577
2018-06-16,0.0772,0.084669,0.07,0.0805,3147079.4617
2018-06-17,0.08,0.080982,0.0718,0.077301,5320625.6429
2018-06-19,0.075364,0.075364,0.0618,0.0641,4134505.6758
2018-09-23,0.01852,0.032986,0.016726,0.029995,63808.976
2018-09-25,0.0184,0.0191,0.0169,0.0188,2507228.3822
2018-09-26,0.0184,0.019336,0.0169,0.0177,1392165.9363
2018-09-27,0.0178,0.018954,0.017601,0.0187,2658796.0848
2018-09-30,0.0187,0.0204,0.018292,0.0196,5264919.4699
2018-10-01,0.0198,0.0248,0.018015,0.0207,4560631.5434
2018-10-02,0.0206,0.025757,0.0201,0.024642,4104837.7681
2018-10-03,0.0222,0.024165,0.0201,0.0218,4467456.2194
2018-10-04,0.0222,0.024162,0.0208,0.0221,4267747.3835
2018-10-05,0.0221,0.022261,0.0186,0.0203,5200390.7775
2018-10-06,0.0206,0.022252,0.0202,0.021,5613544.8407
2018-10-07,0.021097,0.021536,0.0202,0.0209,5164815.3011
2018-10-10,0.0201,0.0202,0.0186,0.0194,2737171.4393
2018-10-11,0.0194,0.0219,0.016532,0.016999,2780200.5845
2018-10-15,0.0175,0.022471,0.0171,0.0189,6388972.503
2018-10-16,0.0189,0.02499,0.0176,0.0207,6332002.4467
2018-10-17,0.0209,0.021217,0.0185,0.0196,6601398.2613
2018-10-18,0.0194,0.021,0.0181,0.0189,7066634.2809
2018-10-19,0.0196,0.0199,0.0178,0.0184,6549979.3259
2018-10-23,0.0181,0.019,0.0176,0.0186,6154354.657
2018-10-24,0.0187,0.0187,0.018,0.0182,6247949.4647
2018-10-25,0.0181,0.0183,0.0171,0.0174,5719786.5711
2018-10-26,0.0174,0.018498,0.0171,0.0181,6984114.17
2018-10-27,0.0181,0.0183,0.0171,0.0174,6650734.8933
2018-10-28,0.0174,0.018374,0.017314,0.0178,6593319.9783
2018-10-29,0.0178,0.0181,0.01704,0.0173,3450073.0257
2018-10-30,0.0173,0.017398,0.0164,0.017,6052560.8294
2018-10-31,0.017,0.018,0.016901,0.0177,5791327.7228
2018-11-01,0.0177,0.018094,0.016968,0.0174,6389348.4301
2018-11-02,0.0174,0.018,0.0173,0.0176,6960356.3485
