timestamp,open,high,low,close,volume
2021-05-17,4.9e-07,9.9e-07,2.1e-07,4.198e-07,720761570919.0
2021-05-18,4.198e-07,5.299e-07,3.33e-07,4.5e-07,935986227006.0
2021-05-19,4.5e-07,4.7e-07,2.001e-07,2.85e-07,709005158443.0
2021-05-20,2.605e-07,5e-07,2.01e-07,4.002e-07,750552650890.0
2021-05-21,4.002e-07,4.79e-07,2.45e-07,2.9e-07,598105002671.0
2021-05-22,2.9e-07,4.7e-07,2.21e-07,2.809e-07,422530415991.0
2021-05-23,2.809e-07,2.999e-07,1.501e-07,1.984e-07,210401007701.0
2021-05-24,1.984e-07,2.699e-07,1.75e-07,2.4e-07,311078250053.0
2021-05-25,2.4e-07,2.487e-07,1.733e-07,1.929e-07,203157629330.0
2021-05-26,1.929e-07,2.15e-07,1.701e-07,1.701e-07,268592502027.0
2021-05-27,1.701e-07,2.699e-07,1.673e-07,2.13e-07,333605783229.0
2021-05-28,2.13e-07,2.13e-07,1.421e-07,1.694e-07,336734795633.0
2021-05-29,1.694e-07,2.148e-07,1.611e-07,1.916e-07,228054287041.0
2021-05-30,1.916e-07,1.994e-07,1.611e-07,1.68e-07,117148401785.0
2021-05-31,1.68e-07,1.73e-07,1.5e-07,1.549e-07,103285424605.0
2021-06-01,1.549e-07,1.71e-07,1.007e-07,1.326e-07,279630048617.0
2021-06-02,1.411e-07,1.9e-07,1.252e-07,1.58e-07,305313479588.0
2021-06-03,1.58e-07,1.739e-07,1.27e-07,1.529e-07,113800824318.0
2021-06-04,1.529e-07,1.546e-07,1.268e-07,1.292e-07,97440649222.0
2021-06-05,1.292e-07,1.48e-07,1.202e-07,1.203e-07,78852131429.0
2021-06-06,1.203e-07,1.45e-07,1.2e-07,1.291e-07,82187141612.0
2021-06-07,1.291e-07,1.315e-07,1.001e-07,1.001e-07,119730444701.0
2021-06-08,1.001e-07,1.12e-07,8.11e-08,9.5e-08,114390596562.0
2021-06-09,9.5e-08,1.194e-07,8.25e-08,1.19e-07,139150001493.0
2021-06-10,1.19e-07,1.19e-07,7.03e-08,9.24e-08,126135473410.0
2021-06-11,9.24e-08,1.07e-07,9.24e-08,1.024e-07,93158999202.0
2021-06-12,1.024e-07,1.067e-07,9.25e-08,9.37e-08,50943304447.0
2021-06-13,9.37e-08,1.02e-07,9.03e-08,9.99e-08,95411521902.0
2021-06-14,9.99e-08,2e-07,8.31e-08,1.043e-07,212660458744.0
2021-06-15,1.043e-07,1.08e-07,8.1e-08,9.89e-08,98041755978.0
2021-06-16,9.89e-08,1.03e-07,8.97e-08,9.47e-08,97596627792.0
2021-06-17,9.47e-08,9.9e-08,8.6e-08,8.93e-08,67197786932.0
2021-06-18,9.29e-08,9.58e-08,6e-08,8.46e-08,85817241690.0
